category,file,distance_cm,angle_deg,meas_idx,mic,band_center_hz,best_wavelet,best_kappa_decomposition_level,min_kappa_target,min_kappa_satisfied,best_effective_level,best_mu_sc,bp_cfg_id,bp_method,iir_order,bw_hz,preprocess_mode,top1_wavelet,top1_mu_sc,top2_wavelet,top2_mu_sc,top3_wavelet,top3_mu_sc,top4_wavelet,top4_mu_sc,top5_wavelet,top5_mu_sc
Box,100cm_-10Grad.pickle,100.0,-10.0,70,Mic1,,dmey,5,4,True,8,0.04160637939064617,raw_no_bandpass,none,0,0.0,raw,dmey,0.04160637939064617,coif3,0.04019855613636854,bior2.2,0.03738647185480544,rbio1.3,0.03502568584897029,sym5,0.033786971494727924
Box,100cm_-10Grad.pickle,100.0,-10.0,71,Mic1,,dmey,5,4,True,8,0.04071628006855189,raw_no_bandpass,none,0,0.0,raw,dmey,0.04071628006855189,coif3,0.0391217405978182,bior2.2,0.03889670664184074,db2,0.03481687091015804,sym2,0.034816870910153605
Box,100cm_-10Grad.pickle,100.0,-10.0,72,Mic1,,dmey,5,4,True,8,0.04132473997069634,raw_no_bandpass,none,0,0.0,raw,dmey,0.04132473997069634,coif3,0.039781727813539135,bior2.2,0.03808608909070062,rbio1.3,0.034345476136964134,db2,0.03433312962980168
Box,100cm_-10Grad.pickle,100.0,-10.0,73,Mic1,,dmey,5,4,True,8,0.04137114813715356,raw_no_bandpass,none,0,0.0,raw,dmey,0.04137114813715356,coif3,0.03983990142046082,bior2.2,0.038669753253533425,db2,0.034420909942068825,sym2,0.03442090994206431
Box,100cm_-10Grad.pickle,100.0,-10.0,74,Mic1,,rbio2.8,7,4,True,10,0.04178232433004229,raw_no_bandpass,none,0,0.0,raw,rbio2.8,0.04178232433004229,dmey,0.04134357641745646,coif3,0.038658638393292574,bior2.2,0.03751624649208494,rbio1.3,0.035266581330488295
Box,100cm_-10Grad.pickle,100.0,-10.0,75,Mic1,,dmey,5,4,True,8,0.04079315393147602,raw_no_bandpass,none,0,0.0,raw,dmey,0.04079315393147602,coif3,0.03952385356470521,rbio2.8,0.0389461546878672,bior2.2,0.03732866769582774,rbio1.3,0.03529538438071432
Box,100cm_-10Grad.pickle,100.0,-10.0,76,Mic1,,dmey,5,4,True,8,0.04077891176378912,raw_no_bandpass,none,0,0.0,raw,dmey,0.04077891176378912,coif3,0.04012134368525229,bior2.2,0.03912455616620372,rbio1.3,0.034627326889968155,db2,0.03457693037109053
Box,100cm_-10Grad.pickle,100.0,-10.0,77,Mic1,,dmey,5,4,True,8,0.04150210177292172,raw_no_bandpass,none,0,0.0,raw,dmey,0.04150210177292172,coif3,0.04112956665012306,bior2.2,0.03830438221364892,rbio1.3,0.034330633729952466,db2,0.03392309177493029
Box,100cm_-10Grad.pickle,100.0,-10.0,78,Mic1,,dmey,5,4,True,8,0.04153914639676309,raw_no_bandpass,none,0,0.0,raw,dmey,0.04153914639676309,coif3,0.03949468471198556,rbio2.8,0.03938356077037635,bior2.2,0.03656203923629028,rbio1.3,0.03531898426550393
Box,100cm_-10Grad.pickle,100.0,-10.0,79,Mic1,,dmey,5,4,True,8,0.041550818331046055,raw_no_bandpass,none,0,0.0,raw,dmey,0.041550818331046055,coif3,0.03995137306585203,bior2.2,0.03812380809169558,db2,0.03541439029246819,sym2,0.03541439029246489
Box,100cm_-10Grad.pickle,100.0,-10.0,80,Mic1,,dmey,5,4,True,8,0.04156080717566091,raw_no_bandpass,none,0,0.0,raw,dmey,0.04156080717566091,coif3,0.03996892155334624,bior2.2,0.038392583155489365,db2,0.035353326923693834,sym2,0.03535332692369081
Box,100cm_-10Grad.pickle,100.0,-10.0,81,Mic1,,dmey,5,4,True,8,0.04149911790126043,raw_no_bandpass,none,0,0.0,raw,dmey,0.04149911790126043,coif3,0.03987580663702169,bior2.2,0.03830250747899351,db2,0.03486757664807473,sym2,0.034867576648071476
Box,100cm_-10Grad.pickle,100.0,-10.0,82,Mic1,,dmey,5,4,True,8,0.04150228162470629,raw_no_bandpass,none,0,0.0,raw,dmey,0.04150228162470629,coif3,0.04031987167052509,bior2.2,0.03760214853693207,db2,0.03472819570116683,sym2,0.0347281957011618
