category,file,distance_cm,angle_deg,mic,run_idx,run_trial_start,run_trial_end,roi_start,roi_end,roi_len,target_band_hz,cfg_id,method,order,bw_hz,energy_halfwidth_hz,roi_rms,envelope_peak,envelope_median,envelope_peak_prominence_ratio,envelope_peak_to_second_ratio,peak_count_over_35pct,false_peak_penalty,detectability_score,peak_index,peak_time_us,target_energy,off_energy,main_off_ratio,main_off_ratio_db,main_peak_power,secondary_peak_power,main_secondary_peak_ratio,main_secondary_peak_ratio_db,dominant_freq_hz,dominant_freq_error_hz,energy_40k,energy_50k,energy_60k
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw5000,iir,2,5000.0,1500.0,149.35303340503603,325.0523551336527,195.38143478722696,1.6636808685924407,1.0000875010195651,2.0,1.0,0.02160561216844617,181.0,90.5,1125695312.1017747,196848.97066039746,5718.5735253034,37.57287709326239,1125695312.1017747,195111.5824052929,5769.495066486824,75.22275612642797,41269.84126984127,1269.8412698412722,1125695312.1017747,195111.5824052929,1737.388255104569
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw5000,iir,2,5000.0,1500.0,23.32734666380781,69.23157690361924,29.96926848601167,2.310085644430433,1.0028516523679007,35.0,34.0,-3.199448042808097,20.0,10.0,11923555.51892857,9532541.563293818,1.2508264915247405,0.9719707068504367,11923555.51892857,9246329.757826228,1.289544698407095,2.208728006409901,50793.6507936508,793.6507936507987,9246329.757826228,11923555.51892857,286211.80546759063
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw5000,iir,2,5000.0,1500.0,36.89232584333981,65.49706679561756,51.77251744904852,1.2650933356693475,1.000014413199251,35.0,34.0,-3.3438297708458404,260.0,130.0,76881834.3958741,89438.28290076525,859.6076747266834,29.343002842933114,76881834.3958741,82915.59185311724,927.2301225572655,59.34375063874632,60317.460317460325,317.4603174603253,6522.691047648011,82915.59185311724,76881834.3958741
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw5500,iir,2,5500.0,1500.0,151.16060478176618,331.44377612487204,198.37345394993224,1.6708071041023662,1.0000734672273262,2.0,1.0,0.02262382960295857,179.0,89.5,1147111147.6266885,287908.7708141359,3984.286912770797,36.00350604888855,1147111147.6266885,283322.61301248224,4048.7807712551016,72.14648523449499,41269.84126984127,1269.8412698412722,1147111147.6266885,283322.61301248224,4586.157801653688
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw5500,iir,2,5500.0,1500.0,27.10413916902599,76.35538228623749,35.743165215270444,2.1362232982549143,1.0019462533412005,35.0,34.0,-3.2183143524592426,20.0,10.0,12233283.67330245,18968568.973374367,0.6449239102050321,-1.9049152153123878,12233283.67330245,18380389.09253484,0.6655617360282636,-3.5362330825876818,50793.6507936508,793.6507936507987,18380389.09253484,12233283.67330245,588179.8808395263
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw5500,iir,2,5500.0,1500.0,37.21125124000707,66.32403722340769,52.5271364735074,1.2626623432415287,1.0000311433162692,40.0,39.0,-3.8442859379668,262.0,131.0,77462996.1597002,190650.60010164665,406.3086930667949,26.08856114254918,77462996.1597002,176151.06734836538,439.75320346203415,52.86418023676017,60317.460317460325,317.4603174603253,14499.532753281255,176151.06734836538,77462996.1597002
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw6000,iir,2,6000.0,1500.0,152.58312080711877,336.53529807482875,201.61167901969378,1.6692252140906665,1.0000075515872784,2.0,1.0,0.022384690742695404,177.0,88.5,1162583214.7495463,412028.601527237,2821.6080399280104,34.50496684145752,1162583214.7495463,401736.3109435667,2893.896277433728,69.22965922297593,41269.84126984127,1269.8412698412722,1162583214.7495463,401736.3109435667,10292.290583670274
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw6000,iir,2,6000.0,1500.0,32.11292549386841,84.7888041454412,43.075424899061574,1.968379983346059,1.0007349251146398,35.0,34.0,-3.238096507487173,20.0,10.0,12509787.322701225,34401605.352887645,0.3636396381615709,-4.393287830502428,12509787.322701225,33315661.428982902,0.37549268980799394,-8.507970270770338,50793.6507936508,793.6507936507987,33315661.428982902,12509787.322701225,1085943.9239047444
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw6000,iir,2,6000.0,1500.0,37.50375771922945,67.18402698605833,53.41255641442145,1.2578320809957957,1.0000187296908847,59.0,58.0,-5.745203872677819,260.0,130.0,77814459.85917042,364778.00111971365,213.32004567247216,23.290316679946216,77814459.85917042,334787.31177672074,232.4295369684354,47.325826340742736,60317.460317460325,317.4603174603253,29990.68934299292,334787.31177672074,77814459.85917042
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw6500,iir,2,6500.0,1500.0,153.74093985733015,340.79526709561156,204.94968907377427,1.662824025914654,1.0000434676389898,2.0,1.0,0.021473954822735036,173.0,86.5,1173923015.1529505,577558.2071845788,2032.5622604784191,33.08043857571437,1173923015.1529505,556843.8336921235,2108.1727840448843,66.47812404809764,41269.84126984127,1269.8412698412722,1173923015.1529505,556843.8336921235,20714.37349245522
