feature,importance_mean,importance_std
Mic2_Tx8_cA1_sparsity,-0.001066666666666638,0.0008000000000000155
Mic2_Tx5_spread_hz,-0.001066666666666638,0.0012364824660660845
Mic2_Tx5_cD3_sparsity,-0.0010666666666666602,0.0009043106644167011
Mic1_Tx5_cA1_sparsity,-0.0011999999999999567,0.000498887651569887
Mic2_Tx8_cD3_logenergy,-0.0011999999999999567,0.000498887651569887
Mic1_Tx8_cD2_energy,-0.0011999999999999789,0.0007774602526460496
Mic1_Tx1_cA1_logenergy,-0.0011999999999999789,0.0007774602526460497
Mic1_Tx8_spread_hz,-0.0013333333333332975,0.0009428090415820537
Mic2_Tx5_carrier_band_frac,-0.0013333333333332975,0.0013984117975601857
Mic1_Tx1_cD3_kurt,-0.0013333333333332975,0.0008432740427115452
Mic1_Tx5_cA1_shannon,-0.0013333333333332975,0.0009428090415820537
Mic2_Tx5_cD3_peakamp,-0.0013333333333332975,0.0009428090415820537
Mic2_Tx8_cD4_peakamp,-0.0014666666666666162,0.0007774602526460496
Mic2_Tx8_env_peakamp,-0.0014666666666666162,0.0007774602526460496
Mic2_Tx1_cD5_peakpos,-0.0014666666666666162,0.0007774602526460496
Mic2_Tx1_cD2_energy,-0.0014666666666666383,0.000498887651569887
Mic2_Tx1_cD2_logenergy,-0.0014666666666666383,0.000498887651569887
Mic1_Tx1_spread_hz,-0.001599999999999957,0.0008000000000000155
Mic1_Tx1_cD2_energy,-0.0015999999999999793,0.0003265986323711088
Mic1_Tx1_cD4_peakpos,-0.0015999999999999793,0.0005333333333333634
Mic2_Tx5_cD2_energy,-0.0015999999999999793,0.0013727506854649138
Mic2_Tx5_cA1_logenergy,-0.0017333333333332756,0.0010832051206181373
Mic2_Tx5_cA1_shannon,-0.001733333333333298,0.0009043106644167141
Mic2_Tx8_cD2_kurt,-0.001733333333333298,0.001554920505292088
Mic1_Tx8_cA1_peakamp,-0.001733333333333298,0.0006798692684790458
Mic2_Tx5_cD1_peakamp,-0.001733333333333298,0.0025157283018817766
Mic1_Tx1_cD4_logenergy,-0.0018666666666666166,0.000979795897113275
Mic2_Tx1_cD4_energy,-0.0018666666666666166,0.0009797958971132753
Mic2_Tx8_cD5_logenergy,-0.0018666666666666387,0.0006531972647421905
Mic2_Tx5_cD2_shannon,-0.0019999999999999797,0.0004216370213557726
Mic2_Tx5_cA1_energy,-0.0019999999999999797,0.001977652929892161
Mic2_Tx1_out_of_band_frac,-0.002133333333333276,0.000979795897113275
Mic2_Tx1_cD2_peakpos,-0.0021333333333332983,0.0011469767022723686
Mic2_Tx5_cD3_shannon,-0.0021333333333333204,0.0006531972647421769
Mic1_Tx1_cD3_peakpos,-0.002266666666666639,0.0006798692684790283
Mic1_Tx8_env_rise_us,-0.0023999999999999577,0.0009977753031397264
Mic2_Tx8_cD3_kurt,-0.0023999999999999577,0.0006798692684790283
Mic1_Tx1_cA1_peakamp,-0.00239999999999998,0.002878271085989735
Mic1_Tx1_cA1_energy,-0.0025333333333332764,0.0009797958971132842
Mic1_Tx8_env_peakamp,-0.0025333333333332985,0.0004988876515698395
Mic1_Tx1_cD1_peakpos,-0.0026666666666666393,0.001398411797560228
