file,object,distance_cm,trial,nominal_hz,peak_hz,offset_hz
75cm_-5Grad.pickle,Box,75,6,40000,41977.52183205432,1977.5218320543208
75cm_-5Grad.pickle,Box,75,6,50000,49241.46979328216,-758.5302067178418
75cm_-5Grad.pickle,Box,75,6,60000,57883.71924425779,-2116.280755742213
75cm_-5Grad.pickle,Box,75,7,40000,41904.277936719736,1904.2779367197363
75cm_-5Grad.pickle,Box,75,7,50000,49193.6208430655,-806.3791569344976
75cm_-5Grad.pickle,Box,75,7,60000,57904.12324921516,-2095.876750784839
75cm_-5Grad.pickle,Box,75,8,40000,41901.95727588102,1901.9572758810173
75cm_-5Grad.pickle,Box,75,8,50000,49163.62908175943,-836.3709182405728
75cm_-5Grad.pickle,Box,75,8,60000,57899.30104020182,-2100.698959798181
75cm_-5Grad.pickle,Box,75,9,40000,41816.63093482825,1816.630934828252
75cm_-5Grad.pickle,Box,75,9,50000,49082.71984521666,-917.2801547833369
75cm_-5Grad.pickle,Box,75,9,60000,57937.88201930475,-2062.1179806952496
75cm_-5Grad.pickle,Box,75,10,40000,41834.30825941433,1834.308259414327
75cm_-5Grad.pickle,Box,75,10,50000,49106.363561736245,-893.6364382637548
75cm_-5Grad.pickle,Box,75,10,60000,57943.60526068988,-2056.394739310119
75cm_-5Grad.pickle,Box,75,11,40000,41873.22956728717,1873.2295672871696
75cm_-5Grad.pickle,Box,75,11,50000,49164.81620284794,-835.1837971520581
75cm_-5Grad.pickle,Box,75,11,60000,57930.180041848864,-2069.8199581511362
75cm_-5Grad.pickle,Box,75,12,40000,41965.10157905681,1965.1015790568126
75cm_-5Grad.pickle,Box,75,12,50000,49249.821536108466,-750.1784638915342
75cm_-5Grad.pickle,Box,75,12,60000,57889.28438842495,-2110.7156115750477
75cm_-5Grad.pickle,Box,75,13,40000,41895.129007479096,1895.129007479096
75cm_-5Grad.pickle,Box,75,13,50000,49185.523711439455,-814.4762885605451
75cm_-5Grad.pickle,Box,75,13,60000,57886.676454822904,-2113.323545177096
75cm_-5Grad.pickle,Box,75,14,40000,41910.371374204784,1910.371374204784
75cm_-5Grad.pickle,Box,75,14,50000,49227.66384518574,-772.3361548142566
75cm_-5Grad.pickle,Box,75,14,60000,57984.018823228456,-2015.9811767715437
75cm_-5Grad.pickle,Box,75,15,40000,41929.225100786716,1929.2251007867162
75cm_-5Grad.pickle,Box,75,15,50000,49209.00434559734,-790.9956544026572
75cm_-5Grad.pickle,Box,75,15,60000,57813.93886222443,-2186.0611377755704
75cm_-5Grad.pickle,Box,75,16,40000,41878.100740012116,1878.1007400121161
75cm_-5Grad.pickle,Box,75,16,50000,49170.016764798296,-829.9832352017038
75cm_-5Grad.pickle,Box,75,16,60000,57862.36117352374,-2137.6388264762572
75cm_-5Grad.pickle,Box,75,17,40000,41822.18435322995,1822.1843532299536
75cm_-5Grad.pickle,Box,75,17,50000,49122.346052074274,-877.6539479257262
75cm_-5Grad.pickle,Box,75,17,60000,57951.15971581537,-2048.8402841846328
75cm_-5Grad.pickle,Box,75,18,40000,41819.97813139414,1819.978131394142
75cm_-5Grad.pickle,Box,75,18,50000,49146.35392046973,-853.6460795302701
75cm_-5Grad.pickle,Box,75,18,60000,58018.969526856745,-1981.0304731432552
75cm_-5Grad.pickle,Box,75,19,40000,41751.68309302708,1751.6830930270808
75cm_-5Grad.pickle,Box,75,19,50000,49016.09285981451,-983.907140185489
75cm_-5Grad.pickle,Box,75,19,60000,58036.063218384705,-1963.9367816152953
75cm_0Grad.pickle,Box,75,0,40000,42657.70331919604,2657.7033191960436
75cm_0Grad.pickle,Box,75,0,50000,50374.9041119334,374.9041119333997
75cm_0Grad.pickle,Box,75,0,60000,58245.951354871206,-1754.0486451287943
75cm_0Grad.pickle,Box,75,1,40000,42669.10631362009,2669.10631362009
75cm_0Grad.pickle,Box,75,1,50000,50364.31023022965,364.31023022964655
75cm_0Grad.pickle,Box,75,1,60000,58290.13517308225,-1709.8648269177502
75cm_0Grad.pickle,Box,75,2,40000,42642.77179476855,2642.7717947685524
75cm_0Grad.pickle,Box,75,2,50000,50250.02725125661,250.027251256608
75cm_0Grad.pickle,Box,75,2,60000,58109.55848729963,-1890.4415127003667
75cm_0Grad.pickle,Box,75,3,40000,42812.35014308847,2812.3501430884717
75cm_0Grad.pickle,Box,75,3,50000,50343.46094745145,343.4609474514509
75cm_0Grad.pickle,Box,75,3,60000,58213.21453714518,-1786.785462854823
75cm_0Grad.pickle,Box,75,4,40000,42767.19699981556,2767.196999815562
75cm_0Grad.pickle,Box,75,4,50000,50498.82023390863,498.8202339086274
75cm_0Grad.pickle,Box,75,4,60000,58353.141608013495,-1646.858391986505
75cm_0Grad.pickle,Box,75,5,40000,42825.64612322021,2825.6461232202128
75cm_0Grad.pickle,Box,75,5,50000,50557.82737890605,557.8273789060477
75cm_0Grad.pickle,Box,75,5,60000,58397.82149160211,-1602.1785083978903
75cm_0Grad.pickle,Box,75,6,40000,43109.63528681583,3109.6352868158283
75cm_0Grad.pickle,Box,75,6,50000,50676.31212852533,676.3121285253292
75cm_0Grad.pickle,Box,75,6,60000,58482.07562255469,-1517.9243774453134
75cm_0Grad.pickle,Box,75,7,40000,42776.76243238226,2776.76243238226
75cm_0Grad.pickle,Box,75,7,50000,50346.77377923176,346.77377923175663
75cm_0Grad.pickle,Box,75,7,60000,58183.00369506654,-1816.996304933462
75cm_0Grad.pickle,Box,75,8,40000,42770.524131501814,2770.524131501814
75cm_0Grad.pickle,Box,75,8,50000,50240.07343617926,240.07343617925653
75cm_0Grad.pickle,Box,75,8,60000,58029.0886889971,-1970.9113110028993
75cm_0Grad.pickle,Box,75,9,40000,43017.845719441146,3017.845719441146
75cm_0Grad.pickle,Box,75,9,50000,50518.30567938752,518.3056793875221
75cm_0Grad.pickle,Box,75,9,60000,58335.8644384331,-1664.1355615669017
75cm_0Grad.pickle,Box,75,10,40000,42693.70225044816,2693.7022504481574
75cm_0Grad.pickle,Box,75,10,50000,50301.53776448877,301.53776448877034
75cm_0Grad.pickle,Box,75,10,60000,58279.895571917965,-1720.1044280820352
75cm_0Grad.pickle,Box,75,11,40000,42903.8893750305,2903.8893750304997
75cm_0Grad.pickle,Box,75,11,50000,50506.03318213671,506.0331821367072
75cm_0Grad.pickle,Box,75,11,60000,58395.551573625395,-1604.4484263746053
75cm_0Grad.pickle,Box,75,12,40000,42707.213530351655,2707.213530351655
75cm_0Grad.pickle,Box,75,12,50000,50439.13893585853,439.1389358585293
75cm_0Grad.pickle,Box,75,12,60000,58405.55876033107,-1594.4412396689295
75cm_0Grad.pickle,Box,75,13,40000,42753.30371526763,2753.3037152676334
75cm_0Grad.pickle,Box,75,13,50000,50618.725294629985,618.725294629985
75cm_0Grad.pickle,Box,75,13,60000,58558.099367392046,-1441.9006326079543
75cm_0Grad.pickle,Box,75,14,40000,42862.01446516428,2862.0144651642768
75cm_0Grad.pickle,Box,75,14,50000,50673.7162653059,673.7162653058986
75cm_0Grad.pickle,Box,75,14,60000,58546.436248908765,-1453.5637510912347
75cm_0Grad.pickle,Box,75,15,40000,42643.880904653284,2643.8809046532842
75cm_0Grad.pickle,Box,75,15,50000,50458.23260436962,458.232604369623
75cm_0Grad.pickle,Box,75,15,60000,58370.62280719388,-1629.3771928061178
75cm_0Grad.pickle,Box,75,16,40000,42763.061865235184,2763.061865235184
75cm_0Grad.pickle,Box,75,16,50000,50758.448224789114,758.4482247891137
75cm_0Grad.pickle,Box,75,16,60000,58574.64098906524,-1425.359010934757
75cm_0Grad.pickle,Box,75,17,40000,42935.4861643967,2935.4861643967015
75cm_0Grad.pickle,Box,75,17,50000,50751.73461362288,751.7346136228807
75cm_0Grad.pickle,Box,75,17,60000,58550.243503277394,-1449.7564967226062
75cm_0Grad.pickle,Box,75,18,40000,42820.50002123234,2820.500021232343
75cm_0Grad.pickle,Box,75,18,50000,50574.95250755106,574.952507551061
75cm_0Grad.pickle,Box,75,18,60000,58474.38609946752,-1525.6139005324803
75cm_0Grad.pickle,Box,75,19,40000,42916.63182585118,2916.631825851182
75cm_0Grad.pickle,Box,75,19,50000,50662.27299353491,662.2729935349125
75cm_0Grad.pickle,Box,75,19,60000,58459.98114874702,-1540.0188512529785
75cm_10Grad.pickle,Box,75,0,40000,42286.865579446116,2286.8655794461156
75cm_10Grad.pickle,Box,75,0,50000,51323.63690350506,1323.6369035050593
75cm_10Grad.pickle,Box,75,0,60000,58509.67186097269,-1490.3281390273114
75cm_10Grad.pickle,Box,75,1,40000,42241.27936767836,2241.279367678362
75cm_10Grad.pickle,Box,75,1,50000,51148.19139870669,1148.1913987066873
75cm_10Grad.pickle,Box,75,1,60000,58508.964934345044,-1491.0350656549563
75cm_10Grad.pickle,Box,75,2,40000,42383.542798964205,2383.542798964205
75cm_10Grad.pickle,Box,75,2,50000,51290.9724832755,1290.9724832755019
75cm_10Grad.pickle,Box,75,2,60000,58538.467945283046,-1461.532054716954
75cm_10Grad.pickle,Box,75,3,40000,42297.532111931934,2297.532111931934
75cm_10Grad.pickle,Box,75,3,50000,51384.59696811022,1384.5969681102215
75cm_10Grad.pickle,Box,75,3,60000,58557.44132520607,-1442.5586747939305
75cm_10Grad.pickle,Box,75,4,40000,42313.40840969312,2313.4084096931183
75cm_10Grad.pickle,Box,75,4,50000,51405.060573399314,1405.0605733993143
75cm_10Grad.pickle,Box,75,4,60000,58619.64029414311,-1380.359705856892
75cm_10Grad.pickle,Box,75,5,40000,42404.49541186995,2404.4954118699534
75cm_10Grad.pickle,Box,75,5,50000,51437.499698554966,1437.499698554966
75cm_10Grad.pickle,Box,75,5,60000,58555.16116353296,-1444.838836467039
75cm_10Grad.pickle,Box,75,6,40000,42361.29841250666,2361.2984125066578
75cm_10Grad.pickle,Box,75,6,50000,51323.639448468646,1323.6394484686462
75cm_10Grad.pickle,Box,75,6,60000,58560.50031965989,-1439.4996803401082
75cm_10Grad.pickle,Box,75,7,40000,42258.20913807623,2258.2091380762286
75cm_10Grad.pickle,Box,75,7,50000,51288.02732021061,1288.027320210611
75cm_10Grad.pickle,Box,75,7,60000,58556.29055707219,-1443.7094429278077
75cm_10Grad.pickle,Box,75,8,40000,42331.07542286182,2331.075422861817
75cm_10Grad.pickle,Box,75,8,50000,51258.58645564312,1258.5864556431188
75cm_10Grad.pickle,Box,75,8,60000,58540.79948329172,-1459.2005167082825
75cm_10Grad.pickle,Box,75,9,40000,42379.00115768122,2379.0011576812176
75cm_10Grad.pickle,Box,75,9,50000,51305.98767192881,1305.9876719288077
75cm_10Grad.pickle,Box,75,9,60000,58531.609357453184,-1468.3906425468158
75cm_10Grad.pickle,Box,75,10,40000,42355.4225412887,2355.4225412887026
75cm_10Grad.pickle,Box,75,10,50000,51358.352051943264,1358.352051943264
75cm_10Grad.pickle,Box,75,10,60000,58554.620441512525,-1445.3795584874752
75cm_10Grad.pickle,Box,75,11,40000,42371.15489317397,2371.154893173967
75cm_10Grad.pickle,Box,75,11,50000,51359.72971355936,1359.7297135593617
75cm_10Grad.pickle,Box,75,11,60000,58541.734126053,-1458.265873946999
75cm_10Grad.pickle,Box,75,12,40000,42290.75468005271,2290.7546800527125
75cm_10Grad.pickle,Box,75,12,50000,51339.12543077514,1339.125430775137
75cm_10Grad.pickle,Box,75,12,60000,58567.88133902139,-1432.1186609786091
75cm_10Grad.pickle,Box,75,13,40000,42338.42573757196,2338.425737571961
75cm_10Grad.pickle,Box,75,13,50000,51339.134711105384,1339.1347111053838
75cm_10Grad.pickle,Box,75,13,60000,58560.363307121996,-1439.6366928780044
75cm_10Grad.pickle,Box,75,14,40000,42324.24488375048,2324.244883750478
75cm_10Grad.pickle,Box,75,14,50000,51393.21472330738,1393.2147233073774
75cm_10Grad.pickle,Box,75,14,60000,58606.157331440474,-1393.842668559526
75cm_10Grad.pickle,Box,75,15,40000,42212.40923835267,2212.409238352673
75cm_10Grad.pickle,Box,75,15,50000,51338.90478558278,1338.9047855827812
75cm_10Grad.pickle,Box,75,15,60000,58602.85142317979,-1397.148576820211
75cm_10Grad.pickle,Box,75,16,40000,42350.89139096282,2350.8913909628172
75cm_10Grad.pickle,Box,75,16,50000,51374.77809298093,1374.7780929809305
75cm_10Grad.pickle,Box,75,16,60000,58555.88812566168,-1444.1118743383195
75cm_10Grad.pickle,Box,75,17,40000,42445.73688448581,2445.7368844858065
75cm_10Grad.pickle,Box,75,17,50000,51489.71360300545,1489.7136030054535
75cm_10Grad.pickle,Box,75,17,60000,58548.49411243756,-1451.5058875624381
75cm_10Grad.pickle,Box,75,18,40000,42328.18418696595,2328.1841869659474
75cm_10Grad.pickle,Box,75,18,50000,51348.225945558996,1348.2259455589956
75cm_10Grad.pickle,Box,75,18,60000,58552.237925597015,-1447.7620744029846
75cm_10Grad.pickle,Box,75,19,40000,42410.65977189102,2410.65977189102
75cm_10Grad.pickle,Box,75,19,50000,51253.3014568276,1253.3014568275976
75cm_10Grad.pickle,Box,75,19,60000,58460.40624645429,-1539.5937535457124
75cm_5Grad.pickle,Box,75,0,40000,42825.796850655184,2825.7968506551842
75cm_5Grad.pickle,Box,75,0,50000,50447.14655904271,447.1465590427106
75cm_5Grad.pickle,Box,75,0,60000,57689.3107087002,-2310.689291299801
75cm_5Grad.pickle,Box,75,1,40000,42677.69317214626,2677.6931721462606
75cm_5Grad.pickle,Box,75,1,50000,50405.83395742202,405.83395742202265
75cm_5Grad.pickle,Box,75,1,60000,57640.221666129364,-2359.778333870636
75cm_5Grad.pickle,Box,75,2,40000,42639.96030846788,2639.960308467882
75cm_5Grad.pickle,Box,75,2,50000,50415.93227031662,415.9322703166181
75cm_5Grad.pickle,Box,75,2,60000,57726.67241882242,-2273.327581177582
75cm_5Grad.pickle,Box,75,3,40000,42707.64204047051,2707.642040470513
75cm_5Grad.pickle,Box,75,3,50000,50392.984622986114,392.9846229861141
75cm_5Grad.pickle,Box,75,3,60000,57634.97662976335,-2365.023370236653
75cm_5Grad.pickle,Box,75,4,40000,42649.88057025638,2649.880570256377
75cm_5Grad.pickle,Box,75,4,50000,50399.16832407582,399.16832407582115
75cm_5Grad.pickle,Box,75,4,60000,57655.38462854601,-2344.6153714539905
75cm_5Grad.pickle,Box,75,5,40000,42763.84998043317,2763.849980433173
75cm_5Grad.pickle,Box,75,5,50000,50452.563863500836,452.5638635008363
75cm_5Grad.pickle,Box,75,5,60000,57654.02758701656,-2345.972412983443
75cm_5Grad.pickle,Box,75,6,40000,42708.1545403229,2708.154540322903
75cm_5Grad.pickle,Box,75,6,50000,50504.663055893085,504.6630558930847
75cm_5Grad.pickle,Box,75,6,60000,57777.237212544605,-2222.7627874553946
75cm_5Grad.pickle,Box,75,7,40000,42809.9526215909,2809.952621590899
75cm_5Grad.pickle,Box,75,7,50000,50541.40081579428,541.4008157942808
75cm_5Grad.pickle,Box,75,7,60000,57811.65065858079,-2188.3493414192126
75cm_5Grad.pickle,Box,75,8,40000,42718.604260651606,2718.6042606516057
75cm_5Grad.pickle,Box,75,8,50000,50487.58914281234,487.5891428123432
75cm_5Grad.pickle,Box,75,8,60000,57743.011313261515,-2256.988686738485
75cm_5Grad.pickle,Box,75,9,40000,42850.8394045865,2850.839404586499
75cm_5Grad.pickle,Box,75,9,50000,50523.71912944719,523.7191294471922
75cm_5Grad.pickle,Box,75,9,60000,57748.053691871944,-2251.9463081280555
75cm_5Grad.pickle,Box,75,10,40000,42761.63998711297,2761.639987112969
75cm_5Grad.pickle,Box,75,10,50000,50326.76328513414,326.76328513414046
75cm_5Grad.pickle,Box,75,10,60000,57651.0870462688,-2348.9129537311965
75cm_5Grad.pickle,Box,75,11,40000,42801.552984199116,2801.5529841991156
75cm_5Grad.pickle,Box,75,11,50000,50420.56204385951,420.56204385950696
75cm_5Grad.pickle,Box,75,11,60000,57773.7600580828,-2226.2399419171998
75cm_5Grad.pickle,Box,75,12,40000,42857.64907960047,2857.6490796004728
75cm_5Grad.pickle,Box,75,12,50000,50576.04000977418,576.0400097741804
75cm_5Grad.pickle,Box,75,12,60000,57750.005831764305,-2249.994168235695
75cm_5Grad.pickle,Box,75,13,40000,42869.64024620335,2869.640246203351
75cm_5Grad.pickle,Box,75,13,50000,50620.30338567016,620.3033856701586
75cm_5Grad.pickle,Box,75,13,60000,57806.50818686709,-2193.4918131329105
75cm_5Grad.pickle,Box,75,14,40000,42754.52092282917,2754.5209228291715
75cm_5Grad.pickle,Box,75,14,50000,50510.98655078488,510.9865507848808
75cm_5Grad.pickle,Box,75,14,60000,57752.09340395973,-2247.906596040273
75cm_5Grad.pickle,Box,75,15,40000,42812.93341824447,2812.9334182444727
75cm_5Grad.pickle,Box,75,15,50000,50511.53052623402,511.5305262340189
75cm_5Grad.pickle,Box,75,15,60000,57762.103266916296,-2237.896733083704
75cm_5Grad.pickle,Box,75,16,40000,42794.93328403056,2794.933284030558
75cm_5Grad.pickle,Box,75,16,50000,50559.25562452428,559.2556245242813
75cm_5Grad.pickle,Box,75,16,60000,57787.9589038078,-2212.0410961922025
75cm_5Grad.pickle,Box,75,17,40000,42709.0698181164,2709.069818116397
75cm_5Grad.pickle,Box,75,17,50000,50504.95325385741,504.9532538574131
75cm_5Grad.pickle,Box,75,17,60000,57871.81429947619,-2128.1857005238126
75cm_5Grad.pickle,Box,75,18,40000,42953.11292922751,2953.1129292275073
75cm_5Grad.pickle,Box,75,18,50000,50620.09037319316,620.0903731931612
75cm_5Grad.pickle,Box,75,18,60000,57784.26138195672,-2215.7386180432804
75cm_5Grad.pickle,Box,75,19,40000,42826.72777678823,2826.7277767882333
75cm_5Grad.pickle,Box,75,19,50000,50572.839201264396,572.8392012643963
75cm_5Grad.pickle,Box,75,19,60000,57860.52275695175,-2139.477243048248
100cm_-10Grad.pickle,Dose,100,0,40000,41688.1465071387,1688.1465071386992
100cm_-10Grad.pickle,Dose,100,0,50000,49980.14835755696,-19.851642443041783
100cm_-10Grad.pickle,Dose,100,0,60000,56971.11071343278,-3028.889286567217
100cm_-10Grad.pickle,Dose,100,1,40000,41569.71401618309,1569.7140161830903
100cm_-10Grad.pickle,Dose,100,1,50000,49976.425789317145,-23.574210682854755
100cm_-10Grad.pickle,Dose,100,1,60000,57130.44065536898,-2869.559344631023
100cm_-10Grad.pickle,Dose,100,2,40000,41492.86647693696,1492.866476936957
100cm_-10Grad.pickle,Dose,100,2,50000,49730.509857746445,-269.49014225355495
100cm_-10Grad.pickle,Dose,100,2,60000,56922.18137439561,-3077.818625604392
100cm_-10Grad.pickle,Dose,100,3,40000,41430.91938483097,1430.9193848309733
100cm_-10Grad.pickle,Dose,100,3,50000,49694.87051546107,-305.1294845389275
100cm_-10Grad.pickle,Dose,100,3,60000,56996.93002964971,-3003.0699703502905
100cm_-10Grad.pickle,Dose,100,4,40000,41568.361262026796,1568.3612620267959
100cm_-10Grad.pickle,Dose,100,4,50000,49654.27010367917,-345.72989632083045
100cm_-10Grad.pickle,Dose,100,4,60000,56844.33904784425,-3155.6609521557475
100cm_-10Grad.pickle,Dose,100,5,40000,41798.281448149486,1798.281448149486
100cm_-10Grad.pickle,Dose,100,5,50000,49670.6273664968,-329.372633503197
100cm_-10Grad.pickle,Dose,100,5,60000,56694.09900786217,-3305.900992137831
100cm_-10Grad.pickle,Dose,100,6,40000,41836.42041598087,1836.4204159808723
100cm_-10Grad.pickle,Dose,100,6,50000,49791.74917291129,-208.25082708871196
100cm_-10Grad.pickle,Dose,100,6,60000,56778.20457511504,-3221.7954248849564
100cm_-10Grad.pickle,Dose,100,7,40000,41870.546567785335,1870.5465677853354
100cm_-10Grad.pickle,Dose,100,7,50000,49897.086112348836,-102.91388765116426
100cm_-10Grad.pickle,Dose,100,7,60000,56671.92960220424,-3328.07039779576
100cm_-10Grad.pickle,Dose,100,8,40000,41688.56354918164,1688.5635491816429
100cm_-10Grad.pickle,Dose,100,8,50000,49840.69844283078,-159.3015571692231
100cm_-10Grad.pickle,Dose,100,8,60000,56471.04354089137,-3528.956459108631
100cm_-10Grad.pickle,Dose,100,9,40000,41810.378758662424,1810.378758662424
100cm_-10Grad.pickle,Dose,100,9,50000,50161.08655338746,161.0865533874603
100cm_-10Grad.pickle,Dose,100,9,60000,56780.409655822776,-3219.5903441772243
100cm_-10Grad.pickle,Dose,100,10,40000,42687.21031318325,2687.210313183248
100cm_-10Grad.pickle,Dose,100,10,50000,50728.65237197368,728.6523719736797
100cm_-10Grad.pickle,Dose,100,10,60000,56453.77973716137,-3546.2202628386294
100cm_-10Grad.pickle,Dose,100,11,40000,43253.446396481995,3253.446396481995
100cm_-10Grad.pickle,Dose,100,11,50000,50852.06130880226,852.0613088022583
100cm_-10Grad.pickle,Dose,100,11,60000,56002.47525578395,-3997.524744216047
100cm_-10Grad.pickle,Dose,100,12,40000,42432.09899486427,2432.0989948642673
100cm_-10Grad.pickle,Dose,100,12,50000,50611.32280124753,611.3228012475302
100cm_-10Grad.pickle,Dose,100,12,60000,56268.57490719302,-3731.4250928069814
100cm_-10Grad.pickle,Dose,100,13,40000,42313.53895423716,2313.538954237163
100cm_-10Grad.pickle,Dose,100,13,50000,50750.04594146805,750.0459414680518
100cm_-10Grad.pickle,Dose,100,13,60000,56685.635527321734,-3314.364472678266
100cm_-10Grad.pickle,Dose,100,14,40000,42092.07220280364,2092.07220280364
100cm_-10Grad.pickle,Dose,100,14,50000,50643.837291140975,643.8372911409751
100cm_-10Grad.pickle,Dose,100,14,60000,56545.108714711314,-3454.891285288686
100cm_-10Grad.pickle,Dose,100,15,40000,42077.712377898926,2077.712377898926
100cm_-10Grad.pickle,Dose,100,15,50000,50472.0743719197,472.074371919698
100cm_-10Grad.pickle,Dose,100,15,60000,56788.13873832656,-3211.861261673439
100cm_-10Grad.pickle,Dose,100,16,40000,41857.78864903649,1857.7886490364908
100cm_-10Grad.pickle,Dose,100,16,50000,50411.075113615836,411.075113615836
100cm_-10Grad.pickle,Dose,100,16,60000,56909.67937976794,-3090.320620232058
100cm_-10Grad.pickle,Dose,100,17,40000,41844.62259541942,1844.6225954194233
100cm_-10Grad.pickle,Dose,100,17,50000,50398.988252927615,398.98825292761467
100cm_-10Grad.pickle,Dose,100,17,60000,56716.85715677301,-3283.1428432269895
100cm_-10Grad.pickle,Dose,100,18,40000,41861.0187102088,1861.018710208802
100cm_-10Grad.pickle,Dose,100,18,50000,50564.83987308876,564.8398730887566
100cm_-10Grad.pickle,Dose,100,18,60000,57064.950803583466,-2935.049196416534
100cm_-10Grad.pickle,Dose,100,19,40000,41711.171825603815,1711.1718256038148
