preprocessing,object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_mean,snr_db_median,snr_db_std,snr_db_q25,snr_db_q75,signal_power_mean,total_power_mean,reference_noise_power_mean
bandpassed,Dose,75,-10.0,60000.0,100,16.235021337624733,16.246225486348337,0.2165438354450761,16.086811259419072,16.376329622913772,39.734124723025026,40.67845495844946,0.9443302354244298
bandpassed,Dose,75,-5.0,40000.0,100,7.636057497036353,7.591496067263041,0.2200985747370426,7.479189989435459,7.759128862528293,85.74807144221886,100.50724922779084,14.759177785571971
bandpassed,Dose,75,-5.0,50000.0,100,16.707138603289682,16.669247588545556,0.18528954347697926,16.577012577139996,16.807937934202954,79.58652041232554,81.28371259146084,1.6971921791353055
bandpassed,Dose,75,-5.0,60000.0,100,15.655299918946284,15.643626235911153,0.18673482220057333,15.51085233503947,15.757251516630074,34.7580439754243,35.70237421084873,0.9443302354244298
bandpassed,Dose,75,0.0,40000.0,100,11.174215160620323,11.186169330708388,0.20383433117919186,11.095552687634132,11.318035121629528,193.61947829737593,208.37865608294788,14.759177785571971
bandpassed,Dose,75,0.0,50000.0,100,19.116947364939186,19.129128209778806,0.22295345842042866,19.0359907417834,19.277556608160264,138.66959318444287,140.36678536357817,1.6971921791353055
bandpassed,Dose,75,0.0,60000.0,100,16.997799306836583,17.013139665889106,0.2866712606299427,16.911860499752358,17.197101690246924,47.40445966294428,48.34878989836871,0.9443302354244298
bandpassed,Dose,75,5.0,40000.0,100,10.91089500696902,10.923968531520323,0.2906019490066979,10.731118700221753,11.099241557960234,182.42742330886907,197.18660109444102,14.759177785571971
bandpassed,Dose,75,5.0,50000.0,100,19.294381014214206,19.319985702606523,0.28521163129094323,19.117541652376552,19.468679517476943,144.56928929372353,146.26648147285883,1.6971921791353055
bandpassed,Dose,75,5.0,60000.0,100,17.6959015089676,17.72198717480084,0.31383914037869537,17.504009723891407,17.9087908913266,55.69453225211744,56.63886248754187,0.9443302354244298
bandpassed,Dose,75,10.0,40000.0,100,7.2979654497188085,7.378767272055135,0.36864539287631415,7.205115723594047,7.52252787290574,79.49874486892607,94.25792265449803,14.759177785571971
bandpassed,Dose,75,10.0,50000.0,100,16.05424116337852,16.179138678046563,0.3786484323260301,16.005998038874928,16.28904924145239,68.66431407286383,70.36150625199913,1.6971921791353055
bandpassed,Dose,75,10.0,60000.0,100,15.166487484890427,15.34124313490191,0.46524005792427325,15.140805809626455,15.471637487744786,31.19846805280225,32.14279828822668,0.9443302354244298
