object,distance_cm,angle_deg,mic,trial,filename,band_center_hz,roi_start,roi_end,roi_length,snr_db_preprocessed,snr_db_denoised,snr_improvement_db,reference_roi_noise_power_mean_pre,reference_roi_noise_power_mean_denoised,denoised_roi_power_mean,denoised_estimated_signal_power
Box,100,-10.0,Mic2,24,100cm_-10Grad.pickle,40000,11550,12180,630,15.046821269182384,14.809016043832209,-0.23780522535017568,2.7446360583479934,1.8027881124058476,56.359261618535676,54.55647350612983
Box,100,-10.0,Mic2,24,100cm_-10Grad.pickle,50000,11550,12180,630,20.61369650963606,16.608768242880135,-4.004928266755925,0.755561583780484,0.5916083103643819,27.68797682969671,27.096368519332326
Box,100,-10.0,Mic2,24,100cm_-10Grad.pickle,60000,11550,12180,630,24.558991597436485,20.708453697962945,-3.85053789947354,0.1887282049019211,0.18434095632273084,21.884714313072376,21.700373356749644
Box,100,-10.0,Mic2,25,100cm_-10Grad.pickle,40000,11550,12180,630,15.087036894598349,14.870693311812722,-0.21634358278562615,2.7446360583479934,1.8027881124058476,57.13958499966461,55.336796887258764
Box,100,-10.0,Mic2,25,100cm_-10Grad.pickle,50000,11550,12180,630,20.60837468736618,16.675856401847998,-3.9325182855181815,0.755561583780484,0.5916083103643819,28.1098009205206,27.518192610156216
Box,100,-10.0,Mic2,25,100cm_-10Grad.pickle,60000,11550,12180,630,24.50003001554998,20.518226916570725,-3.981803098979256,0.1887282049019211,0.18434095632273084,20.954725054880658,20.770384098557926
Box,100,-10.0,Mic2,26,100cm_-10Grad.pickle,40000,11550,12180,630,14.847126894716707,14.71793364617173,-0.12919324854497738,2.7446360583479934,1.8027881124058476,55.226990909475774,53.424202797069924
Box,100,-10.0,Mic2,26,100cm_-10Grad.pickle,50000,11550,12180,630,20.310755991965127,16.080995101360656,-4.229760890604471,0.755561583780484,0.5916083103643819,24.587327782552496,23.995719472188114
Box,100,-10.0,Mic2,26,100cm_-10Grad.pickle,60000,11550,12180,630,24.16388398403912,20.363189296883633,-3.800694687155488,0.1887282049019211,0.18434095632273084,20.226327484811552,20.04198652848882
Box,100,-10.0,Mic2,27,100cm_-10Grad.pickle,40000,11550,12180,630,15.506266337581152,15.565494071310846,0.05922773372969381,2.7446360583479934,1.8027881124058476,66.740067998046,64.93727988564015
Box,100,-10.0,Mic2,27,100cm_-10Grad.pickle,50000,11550,12180,630,20.817161312390475,16.223248335773725,-4.59391297661675,0.755561583780484,0.5916083103643819,25.386322100185332,24.79471378982095
Box,100,-10.0,Mic2,27,100cm_-10Grad.pickle,60000,11550,12180,630,24.54250675717709,20.641936275145092,-3.9005704820319984,0.1887282049019211,0.18434095632273084,21.55487935518867,21.37053839886594
Box,100,-10.0,Mic2,28,100cm_-10Grad.pickle,40000,11550,12180,630,14.883873968452235,14.585298927005939,-0.29857504144629665,2.7446360583479934,1.8027881124058476,53.62006407581387,51.81727596340802
Box,100,-10.0,Mic2,28,100cm_-10Grad.pickle,50000,11550,12180,630,20.49357256419524,16.369198994973598,-4.1243735692216426,0.755561583780484,0.5916083103643819,26.233742313302304,25.642134002937922
Box,100,-10.0,Mic2,28,100cm_-10Grad.pickle,60000,11550,12180,630,24.542970404247924,20.96951585753334,-3.573454546714583,0.1887282049019211,0.18434095632273084,23.229166352007862,23.04482539568513
Box,100,-10.0,Mic2,29,100cm_-10Grad.pickle,40000,11550,12180,630,14.541950918208018,13.931343588865598,-0.6106073293424199,2.7446360583479934,1.8027881124058476,46.376524937731716,44.57373682532587
Box,100,-10.0,Mic2,29,100cm_-10Grad.pickle,50000,11550,12180,630,20.364904283026384,16.792956430610793,-3.5719478524155903,0.755561583780484,0.5916083103643819,28.86187523022797,28.270266919863587
Box,100,-10.0,Mic2,29,100cm_-10Grad.pickle,60000,11550,12180,630,24.56182615431818,20.95677375126156,-3.605052403056618,0.1887282049019211,0.18434095632273084,23.16165242280555,22.977311466482817
Box,100,-10.0,Mic2,30,100cm_-10Grad.pickle,40000,11550,12180,630,14.492259602058288,14.022383372265248,-0.4698762297930408,2.7446360583479934,1.8027881124058476,47.320772538504386,45.517984426098536
Box,100,-10.0,Mic2,30,100cm_-10Grad.pickle,50000,11550,12180,630,20.185138090335293,16.429723834937725,-3.755414255397568,0.755561583780484,0.5916083103643819,26.593602052167277,26.001993741802895
Box,100,-10.0,Mic2,30,100cm_-10Grad.pickle,60000,11550,12180,630,24.263633112851597,20.52632139943945,-3.737311713412147,0.1887282049019211,0.18434095632273084,20.993473484992286,20.809132528669554
Box,100,-10.0,Mic2,31,100cm_-10Grad.pickle,40000,11550,12180,630,15.423066648421006,15.182673152413948,-0.24039349600705862,2.7446360583479934,1.8027881124058476,61.261021435536264,59.458233323130415
Box,100,-10.0,Mic2,31,100cm_-10Grad.pickle,50000,11550,12180,630,20.972069130652496,17.08529704450514,-3.8867720861473565,0.755561583780484,0.5916083103643819,30.83036777364469,30.238759463280307
Box,100,-10.0,Mic2,31,100cm_-10Grad.pickle,60000,11550,12180,630,24.894910345271807,20.902753734186522,-3.992156611085285,0.1887282049019211,0.18434095632273084,22.87761771250575,22.693276756183018
Box,100,-10.0,Mic2,32,100cm_-10Grad.pickle,40000,11550,12180,630,15.321213369494036,14.979976326854398,-0.34123704263963717,2.7446360583479934,1.8027881124058476,58.549711202381324,56.746923089975475
Box,100,-10.0,Mic2,32,100cm_-10Grad.pickle,50000,11550,12180,630,20.91282297092853,17.28669300701375,-3.6261299639147815,0.755561583780484,0.5916083103643819,32.26565602623003,31.67404771586565
Box,100,-10.0,Mic2,32,100cm_-10Grad.pickle,60000,11550,12180,630,24.822661020210184,20.610458495223718,-4.212202524986466,0.1887282049019211,0.18434095632273084,21.40054510771102,21.21620415138829
Box,100,-10.0,Mic2,33,100cm_-10Grad.pickle,40000,11550,12180,630,15.886446856190888,15.774499624588499,-0.11194723160238951,2.7446360583479934,1.8027881124058476,69.94161435104267,68.13882623863682
Box,100,-10.0,Mic2,33,100cm_-10Grad.pickle,50000,11550,12180,630,21.35903708988289,17.405379859887223,-3.9536572299956667,0.755561583780484,0.5916083103643819,33.14320169457766,32.551593384213284
Box,100,-10.0,Mic2,33,100cm_-10Grad.pickle,60000,11550,12180,630,25.190835010792615,20.98197774887929,-4.208857261913323,0.1887282049019211,0.18434095632273084,23.29538744042209,23.111046484099358
Box,100,-10.0,Mic2,34,100cm_-10Grad.pickle,40000,11550,12180,630,15.314100736841542,15.072380858835748,-0.2417198780057941,2.7446360583479934,1.8027881124058476,59.77004797281428,57.96725986040843
Box,100,-10.0,Mic2,34,100cm_-10Grad.pickle,50000,11550,12180,630,20.87723239563664,16.888110790849275,-3.989121604787364,0.755561583780484,0.5916083103643819,29.48811507478109,28.896506764416706
Box,100,-10.0,Mic2,34,100cm_-10Grad.pickle,60000,11550,12180,630,24.84052458108572,21.028223788630118,-3.812300792455602,0.1887282049019211,0.18434095632273084,23.542801401179087,23.358460444856355
Box,100,-10.0,Mic2,35,100cm_-10Grad.pickle,40000,11550,12180,630,15.28397190357593,15.060131424243778,-0.2238404793321518,2.7446360583479934,1.8027881124058476,59.60677955824242,57.80399144583657
Box,100,-10.0,Mic2,35,100cm_-10Grad.pickle,50000,11550,12180,630,20.81875156752765,16.720249513502296,-4.098502054025353,0.755561583780484,0.5916083103643819,28.39253146420814,27.80092315384376
Box,100,-10.0,Mic2,35,100cm_-10Grad.pickle,60000,11550,12180,630,24.745520156875624,20.90452385743625,-3.840996299439375,0.1887282049019211,0.18434095632273084,22.8868690582925,22.70252810196977
Box,100,-10.0,Mic2,36,100cm_-10Grad.pickle,40000,11550,12180,630,15.195656507937096,15.02610785898048,-0.16954864895661714,2.7446360583479934,1.8027881124058476,59.15569987199828,57.35291175959243
Box,100,-10.0,Mic2,36,100cm_-10Grad.pickle,50000,11550,12180,630,20.71500493168947,16.700664093032813,-4.014340838656658,0.755561583780484,0.5916083103643819,28.267439646697042,27.67583133633266
Box,100,-10.0,Mic2,36,100cm_-10Grad.pickle,60000,11550,12180,630,24.60701457399329,20.745718611427893,-3.8612959625653964,0.1887282049019211,0.18434095632273084,22.0717168893551,21.887375933032367
Box,100,-10.0,Mic2,37,100cm_-10Grad.pickle,40000,11550,12180,630,14.401915532976751,14.081957397592461,-0.3199581353842902,2.7446360583479934,1.8027881124058476,47.94946429171252,46.146676179306674
Box,100,-10.0,Mic2,37,100cm_-10Grad.pickle,50000,11550,12180,630,19.99105963068372,16.01801467713522,-3.9730449535484986,0.755561583780484,0.5916083103643819,24.241858187654096,23.650249877289713
Box,100,-10.0,Mic2,37,100cm_-10Grad.pickle,60000,11550,12180,630,23.933295898146973,20.016269129870864,-3.9170267682761093,0.1887282049019211,0.18434095632273084,18.68762216464928,18.50328120832655
Box,100,-10.0,Mic2,38,100cm_-10Grad.pickle,40000,11550,12180,630,14.54526542617094,14.362041111068446,-0.18322431510249437,2.7446360583479934,1.8027881124058476,51.02360269141273,49.22081457900688
Box,100,-10.0,Mic2,38,100cm_-10Grad.pickle,50000,11550,12180,630,19.989627724821464,16.11588384273355,-3.873743882087915,0.755561583780484,0.5916083103643819,24.78087207649832,24.189263766133937
Box,100,-10.0,Mic2,38,100cm_-10Grad.pickle,60000,11550,12180,630,23.72388076617548,19.224626576199285,-4.499254189976195,0.1887282049019211,0.18434095632273084,15.604345220386016,15.420004264063286
Box,100,-10.0,Mic2,39,100cm_-10Grad.pickle,40000,11550,12180,630,14.102262874548996,13.476583681374336,-0.6256791931746601,2.7446360583479934,1.8027881124058476,41.94516219887401,40.14237408646816
Box,100,-10.0,Mic2,39,100cm_-10Grad.pickle,50000,11550,12180,630,19.89157597109346,16.359156729520656,-3.5324192415728035,0.755561583780484,0.5916083103643819,26.17451806805956,25.582909757695177
Box,100,-10.0,Mic2,39,100cm_-10Grad.pickle,60000,11550,12180,630,24.01999007866092,20.137360652259837,-3.8826294264010848,0.1887282049019211,0.18434095632273084,19.210796969715158,19.026456013392426
