object,filename,distance_cm,mic,trial,band_center_hz,roi_start,roi_end,roi_length,raw_roi_power,raw_ref_noise_power,snr_db_raw,denoised_roi_power,denoised_ref_noise_power,snr_db_denoised,snr_improvement_db
Box,100cm_-10Grad.pickle,100,Mic2,95,50000,11550,12180,630,129.36612231722057,5.503607616684235,13.522924299419106,129.23117915959705,5.499373298582872,13.52168150803105,-0.0012427913880568298
Box,100cm_-10Grad.pickle,100,Mic2,96,50000,11550,12180,630,138.90969363726688,5.503607616684235,13.845281796393127,138.77679149307127,5.499373298582872,13.84443370456313,-0.0008480918299973439
Box,100cm_-10Grad.pickle,100,Mic2,97,50000,11550,12180,630,144.90383720014503,5.503607616684235,14.036160259972693,144.7702751871795,5.499373298582872,14.035471873206895,-0.0006883867657982989
Box,100cm_-10Grad.pickle,100,Mic2,98,50000,11550,12180,630,112.09786746449002,5.503607616684235,12.870863553322003,111.98061528811525,5.499373298582872,12.869599073950742,-0.0012644793712617286
Box,100cm_-10Grad.pickle,100,Mic2,99,50000,11550,12180,630,138.39205005491698,5.503607616684235,13.828397481430414,138.26032885094142,5.499373298582872,13.827571689193277,-0.0008257922371370796
Box,100cm_-5Grad.pickle,100,Mic2,0,50000,11550,12180,630,145.36799375347493,5.503607616684235,14.050596805394015,145.17133123481798,5.499373298582872,14.047960204942738,-0.0026366004512770047
Box,100cm_-5Grad.pickle,100,Mic2,1,50000,11550,12180,630,146.45483403157655,5.503607616684235,14.084213959938577,146.25258667807012,5.499373298582872,14.081451178484388,-0.002762781454189067
Box,100cm_-5Grad.pickle,100,Mic2,2,50000,11550,12180,630,144.4825189802531,5.503607616684235,14.023014424612342,144.27916104507145,5.499373298582872,14.02013018252575,-0.0028842420865924367
Box,100cm_-5Grad.pickle,100,Mic2,3,50000,11550,12180,630,150.87561246855697,5.503607616684235,14.218333168927842,150.6701872938796,5.499373298582872,14.215661113110885,-0.002672055816956842
Box,100cm_-5Grad.pickle,100,Mic2,4,50000,11550,12180,630,158.93349296454014,5.503607616684235,14.452624974884152,158.7076015599957,5.499373298582872,14.449688896327102,-0.002936078557050692
