object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_preprocessed_mean,snr_db_denoised_mean,snr_improvement_db_mean,snr_improvement_db_median,snr_improvement_db_std
Dose,100,0.0,60000,100,19.68234493863909,10.679608322683814,-9.002736615955275,-9.068160394775399,0.7293793923436489
Dose,100,5.0,40000,100,10.40408726100591,10.411420476497137,0.007333215491225875,0.015344253540881425,0.10105941421187048
Dose,100,5.0,50000,100,15.510923098663762,8.543379442736272,-6.967543655927488,-6.829307437927877,0.5734243251326608
Dose,100,5.0,60000,100,18.42867189601875,12.827648580612653,-5.601023315406096,-5.477837122675361,0.6062267478618156
Dose,100,10.0,40000,100,4.761365260180577,-0.30954637646217154,-5.070911636642748,-4.869495086807841,1.3846526589335215
Dose,100,10.0,50000,100,11.368918926126371,6.811759335622294,-4.557159590504077,-4.39815954715257,0.7598767567834708
Dose,100,10.0,60000,100,16.207349424114078,13.052548761033796,-3.154800663080282,-3.1525780170975812,0.2753139545067341
Dose,125,-10.0,40000,100,5.689110033720038,4.941067728209676,-0.748042305510361,-0.6943401461299934,0.3447942349267193
Dose,125,-10.0,50000,100,19.30715914933843,11.78387958828906,-7.5232795610493675,-7.31890357760949,0.8835996976601559
Dose,125,-10.0,60000,100,11.252878644201212,2.3104253887703807,-8.94245325543083,-8.800090889725034,1.1250443900820153
Dose,125,-5.0,40000,100,9.039252085715228,8.777759689305338,-0.26149239640988986,-0.2433713791012515,0.17726708169279728
Dose,125,-5.0,50000,100,21.70060169032054,7.96550835422155,-13.735093336098993,-13.76871777978224,0.8953642974771745
Dose,125,-5.0,60000,100,12.812058477294274,1.532178715029103,-11.279879762265171,-11.121895947439178,1.2288673792551676
Dose,125,0.0,40000,100,11.847126103008804,12.020838426455262,0.17371232344645815,0.18069256636201114,0.10442170087141207
Dose,125,0.0,50000,100,24.358649444476672,14.619982686749097,-9.738666757727579,-9.460343215594731,0.8549157253150403
Dose,125,0.0,60000,100,15.471485926347821,2.9895390988490487,-12.48194682749877,-12.328000080268398,1.1723897850804252
Dose,125,5.0,40000,100,9.4358340379203,10.006055624452316,0.5702215865320157,0.5711483040220555,0.058617088736715464
Dose,125,5.0,50000,100,22.334340389426064,12.711358497548154,-9.62298189187791,-9.56110360577416,0.8341727592297523
Dose,125,5.0,60000,100,13.804546733451684,3.5274233986713246,-10.277123334780361,-10.052609659784085,1.435545452683248
Dose,125,10.0,40000,100,8.677233025360326,9.042814311163756,0.36558128580343074,0.39392501943868297,0.1280295423253626
Dose,125,10.0,50000,100,21.595141538131166,7.950297376603557,-13.644844161527606,-13.472408210910704,1.2590320270852162
Dose,125,10.0,60000,100,13.296539763602757,6.378570626114439,-6.917969137488317,-6.563731861818478,1.0604262710030294
Glas,25,-10.0,40000,100,14.729472301874289,13.020750223019393,-1.7087220788548982,-1.7082540935829025,0.009998864325723788
Glas,25,-10.0,50000,100,24.012940218070618,18.78983222826582,-5.223107989804797,-5.221311500309431,0.016830404278197476
Glas,25,-10.0,60000,100,20.709641597463843,16.23200996549771,-4.477631631966133,-4.469337943432249,0.04551714689188897
Glas,25,-5.0,40000,100,17.195302819972586,16.09432326121086,-1.1009795587617255,-1.1075614531791977,0.025883750938378882
Glas,25,-5.0,50000,100,25.758626209344232,17.35817278720015,-8.400453422144086,-8.392050859408881,0.05414976999547461
Glas,25,-5.0,60000,100,21.520351503368087,16.291025273693723,-5.229326229674363,-5.225824141416206,0.06761081314347886
Glas,25,0.0,40000,100,14.41150980051606,11.772509252420166,-2.639000548095894,-2.632080003581712,0.08147146347097518
Glas,25,0.0,50000,100,23.61553186802132,17.967168084068856,-5.648363783952467,-5.637987006673166,0.08666214654159393
Glas,25,0.0,60000,100,20.37759397135324,16.374718660370267,-4.002875310982974,-4.011027423043162,0.04275215459232514
Glas,25,5.0,40000,100,13.29562986424295,9.94036677726772,-3.355263086975229,-3.362757207594683,0.04152997308078181
Glas,25,5.0,50000,100,23.227533179543105,19.99510271150357,-3.2324304680395373,-3.2319758041020474,0.013404865724269502
Glas,25,5.0,60000,100,20.05852913658324,13.896648736636045,-6.1618803999471945,-6.164782913656051,0.024404112037647363
Glas,25,10.0,40000,100,8.690907962772089,3.731078879419925,-4.959829083352164,-4.9770917395537655,0.10840380257552398
Glas,25,10.0,50000,100,19.97224671138996,16.897235400162728,-3.0750113112272333,-3.0732205072870773,0.021969926459796077
Glas,25,10.0,60000,100,17.950830293184325,14.22876426617642,-3.722066027007906,-3.717996095592752,0.03695673520852863
Glas,50,-10.0,40000,100,19.79260201323314,19.32834655385734,-0.46425545937579854,-0.463954599301152,0.00944656232780501
Glas,50,-10.0,50000,100,23.858350918283712,16.311687662671662,-7.546663255612053,-7.539721993485825,0.053227847263239904
Glas,50,-10.0,60000,100,23.64874528324018,13.573848547727128,-10.074896735513056,-10.053829290258314,0.10025898779212558
Glas,50,-5.0,40000,100,20.744362457913184,19.970546280428945,-0.773816177484242,-0.774000311164988,0.017176601488960597
Glas,50,-5.0,50000,100,24.46295522056049,15.100035240708396,-9.362919979852098,-9.35726913348334,0.06286611742728192
Glas,50,-5.0,60000,100,24.004550016069842,15.728238632577165,-8.276311383492676,-8.276873306240656,0.09172105251526524
