object,distance_cm,angle_deg,mic,trial,filename,band_center_hz,roi_start,roi_end,roi_length,snr_db_preprocessed,snr_db_denoised,snr_improvement_db,reference_roi_noise_power_mean_pre,reference_roi_noise_power_mean_denoised,denoised_roi_power_mean,denoised_estimated_signal_power
Glas,100,10.0,Mic2,87,100cm_10Grad.pickle,60000,11550,12180,630,20.80300755425709,17.149864745978775,-3.6531428082783144,0.18872820490192116,0.18798167150440534,9.940167800087476,9.752186128583071
Glas,100,10.0,Mic2,88,100cm_10Grad.pickle,40000,11550,12180,630,11.330927491523525,10.828766363793108,-0.5021611277304174,2.7446360583479934,1.8112541950436722,23.732036076820997,21.920781881777323
Glas,100,10.0,Mic2,88,100cm_10Grad.pickle,50000,11550,12180,630,16.81861105481801,10.39184590208082,-6.42676515273719,0.755561583780484,0.5683693039852666,6.788724793770238,6.220355489784971
Glas,100,10.0,Mic2,88,100cm_10Grad.pickle,60000,11550,12180,630,20.70406513437915,17.209964287941396,-3.494100846437753,0.18872820490192116,0.18798167150440534,10.076060859072065,9.88807918756766
Glas,100,10.0,Mic2,89,100cm_10Grad.pickle,40000,11550,12180,630,11.619504403841024,10.893692553772132,-0.7258118500688919,2.7446360583479934,1.8112541950436722,24.06220941560327,22.250955220559597
Glas,100,10.0,Mic2,89,100cm_10Grad.pickle,50000,11550,12180,630,17.033704115646035,10.724689595979847,-6.309014519666189,0.755561583780484,0.5683693039852666,7.284197453066374,6.715828149081107
Glas,100,10.0,Mic2,89,100cm_10Grad.pickle,60000,11550,12180,630,20.891780559460813,17.366346325037767,-3.525434234423045,0.18872820490192116,0.18798167150440534,10.43860179776869,10.250620126264286
Glas,100,10.0,Mic2,90,100cm_10Grad.pickle,40000,11550,12180,630,11.554241388607178,10.859480775041794,-0.6947606135653839,2.7446360583479934,1.8112541950436722,23.887614924326666,22.076360729282992
Glas,100,10.0,Mic2,90,100cm_10Grad.pickle,50000,11550,12180,630,16.949173275105288,10.746589875127015,-6.202583399978273,0.755561583780484,0.5683693039852666,7.318149064181465,6.749779760196198
Glas,100,10.0,Mic2,90,100cm_10Grad.pickle,60000,11550,12180,630,20.75977836856904,17.034987425223555,-3.7247909433454858,0.18872820490192116,0.18798167150440534,9.685589862737535,9.49760819123313
Glas,100,10.0,Mic2,91,100cm_10Grad.pickle,40000,11550,12180,630,11.54745786435859,10.710242155435868,-0.8372157089227219,2.7446360583479934,1.8112541950436722,23.141881118921347,21.330626923877674
Glas,100,10.0,Mic2,91,100cm_10Grad.pickle,50000,11550,12180,630,16.942259019787713,10.522895601706924,-6.419363418080788,0.755561583780484,0.5683693039852666,6.979286610897779,6.410917306912512
Glas,100,10.0,Mic2,91,100cm_10Grad.pickle,60000,11550,12180,630,20.836100457514956,17.435562748530103,-3.400537708984853,0.18872820490192116,0.18798167150440534,10.60328162425287,10.415299952748466
Glas,100,10.0,Mic2,92,100cm_10Grad.pickle,40000,11550,12180,630,11.22135294925384,10.486545781288001,-0.7348071679658386,2.7446360583479934,1.8112541950436722,22.070999553425278,20.259745358381604
Glas,100,10.0,Mic2,92,100cm_10Grad.pickle,50000,11550,12180,630,16.681537285388302,9.986182861641216,-6.6953544237470854,0.755561583780484,0.5683693039852666,6.23400833144378,5.665639027458513
Glas,100,10.0,Mic2,92,100cm_10Grad.pickle,60000,11550,12180,630,20.643830528968543,17.325055394455912,-3.318775134512631,0.18872820490192116,0.18798167150440534,10.341604957265307,10.153623285760903
Glas,100,10.0,Mic2,93,100cm_10Grad.pickle,40000,11550,12180,630,11.319619861685881,10.62928807152832,-0.6903317901575612,2.7446360583479934,1.8112541950436722,22.747953297240578,20.936699102196904
Glas,100,10.0,Mic2,93,100cm_10Grad.pickle,50000,11550,12180,630,16.792854026852318,10.619179766928205,-6.173674259924113,0.755561583780484,0.5683693039852666,7.123005494760426,6.55463619077516
Glas,100,10.0,Mic2,93,100cm_10Grad.pickle,60000,11550,12180,630,20.715905088767883,17.19382372611687,-3.5220813626510115,0.18872820490192116,0.18798167150440534,10.039380000370375,9.85139832886597
Glas,100,10.0,Mic2,94,100cm_10Grad.pickle,40000,11550,12180,630,11.627979515100543,10.999770574092311,-0.6282089410082321,2.7446360583479934,1.8112541950436722,24.612388975173687,22.801134780130013
Glas,100,10.0,Mic2,94,100cm_10Grad.pickle,50000,11550,12180,630,17.06013527967331,10.872480154696664,-6.187655124976647,0.755561583780484,0.5683693039852666,7.516670408781745,6.948301104796478
Glas,100,10.0,Mic2,94,100cm_10Grad.pickle,60000,11550,12180,630,20.914028125127103,17.310826599893225,-3.603201525233878,0.18872820490192116,0.18798167150440534,10.308393066669414,10.120411395165009
Glas,100,10.0,Mic2,95,100cm_10Grad.pickle,40000,11550,12180,630,11.562400588457063,10.818326700929774,-0.7440738875272892,2.7446360583479934,1.8112541950436722,23.67940571875523,21.868151523711557
Glas,100,10.0,Mic2,95,100cm_10Grad.pickle,50000,11550,12180,630,17.038332162682796,10.725233798766624,-6.313098363916172,0.755561583780484,0.5683693039852666,7.2850390482376195,6.716669744252353
Glas,100,10.0,Mic2,95,100cm_10Grad.pickle,60000,11550,12180,630,20.99146246678417,17.55579347994295,-3.435668986841222,0.18872820490192116,0.18798167150440534,10.89564863324529,10.707666961740886
Glas,100,10.0,Mic2,96,100cm_10Grad.pickle,40000,11550,12180,630,11.85693493998815,11.203012161961755,-0.653922778026395,2.7446360583479934,1.8112541950436722,25.704800916677897,23.893546721634223
Glas,100,10.0,Mic2,96,100cm_10Grad.pickle,50000,11550,12180,630,17.165320117209657,10.627579774174194,-6.537740343035463,0.755561583780484,0.5683693039852666,7.1356955645060385,6.567326260520772
Glas,100,10.0,Mic2,96,100cm_10Grad.pickle,60000,11550,12180,630,20.93206342337478,17.38583773510292,-3.5462256882718606,0.18872820490192116,0.18798167150440534,10.484710619200301,10.296728947695897
Glas,100,10.0,Mic2,97,100cm_10Grad.pickle,40000,11550,12180,630,11.468822436764519,10.624701985585626,-0.8441204511788936,2.7446360583479934,1.8112541950436722,22.725856119693443,20.91460192464977
Glas,100,10.0,Mic2,97,100cm_10Grad.pickle,50000,11550,12180,630,16.872052851288146,10.54337306122404,-6.328679790064106,0.755561583780484,0.5683693039852666,7.009586163445565,6.441216859460298
