object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_preprocessed_mean,snr_db_denoised_mean,snr_improvement_db_mean,snr_improvement_db_median,snr_improvement_db_std
Box,75,0.0,60000,100,25.915858619453957,22.76935503763545,-3.1465035818185054,-3.0917701343689554,0.3868204358510798
Box,75,5.0,40000,100,12.210778231329087,9.784243901792285,-2.4265343295368016,-2.413455206779438,0.32134249064857145
Box,75,5.0,50000,100,22.353760073097057,18.54382795391483,-3.809932119182228,-3.835936737376402,0.19448420206207082
Box,75,5.0,60000,100,23.54215451462845,20.05231866478444,-3.4898358498440105,-3.4959440555345296,0.23075764443375107
Box,75,10.0,40000,100,15.122200042780598,12.501860688189858,-2.620339354590739,-2.642195000745585,0.23287116868959926
Box,75,10.0,50000,100,25.666348006296765,20.775412268950745,-4.890935737346024,-4.896546182474932,0.1802551728070218
Box,75,10.0,60000,100,27.54040184487354,25.464082790692014,-2.0763190541815226,-2.0731864086985325,0.07864835498904778
Box,100,-10.0,40000,100,15.394483109994859,14.998668634335836,-0.3958144756590202,-0.37391493181816937,0.310773301637881
Box,100,-10.0,50000,100,20.908209945241673,16.92906211009698,-3.979147835144693,-3.9407136440925914,0.44970716147919154
Box,100,-10.0,60000,100,24.785077613685576,20.592867034660582,-4.192210579024998,-4.168972676708439,0.26496295924911384
Box,100,-5.0,40000,100,16.62567755274349,16.652338630337475,0.026661077593986296,0.0259220195435077,0.14128826057711774
Box,100,-5.0,50000,100,21.727798129677048,16.818576215178126,-4.909221914498919,-4.915363033006381,0.26217952158958874
Box,100,-5.0,60000,100,25.37554403109921,20.15018933120039,-5.22535469989882,-5.234083469746066,0.28607889894817373
Box,100,0.0,40000,100,20.8075911378936,20.531647491133082,-0.27594364676051847,-0.24612313427423693,0.15420202582941628
Box,100,0.0,50000,100,24.434606440456193,8.43667850669713,-15.99792793375906,-15.89982499292461,3.582764935925083
Box,100,0.0,60000,100,26.26028152748038,21.863094675121395,-4.397186852358982,-4.313201425634054,0.44139681859482877
Box,100,5.0,40000,100,10.645653852013977,9.193278910838831,-1.4523749411751457,-1.2152127268868647,0.9160818326376726
Box,100,5.0,50000,100,16.68927518642408,10.8725714358024,-5.816703750621681,-5.768258323562829,0.6386162400140126
Box,100,5.0,60000,100,21.49610154551289,18.96591791641976,-2.5301836290931283,-2.454267660351281,0.5938685612480868
Box,100,10.0,40000,100,13.871233893680945,9.467124527997449,-4.404109365683495,-4.366878594913871,0.6538642296388439
Box,100,10.0,50000,100,22.14108331572342,16.244267213105264,-5.896816102618158,-5.983826902585188,0.653012283089021
Box,100,10.0,60000,100,28.58718903157001,27.38962407224446,-1.1975649593255489,-1.153709866007997,0.13529281046903271
Box,125,-10.0,40000,100,8.606237866006282,7.205827619521381,-1.400410246484902,-1.2680557852997487,0.6974806826220228
Box,125,-10.0,50000,100,22.89531479276316,17.257902718833385,-5.6374120739297755,-5.594167435220722,0.9480915026845317
Box,125,-10.0,60000,100,17.396796392926486,14.904233958883545,-2.4925624340429424,-2.5065093642740948,0.32494395011113314
Box,125,-5.0,40000,100,11.970446111984465,12.363442287002393,0.39299617501792605,0.40458458841701805,0.09195323285060643
Box,125,-5.0,50000,100,24.975679937201438,14.089032197499757,-10.886647739701685,-10.846135519553211,0.9286155174787911
Box,125,-5.0,60000,100,17.61578549293622,11.935715980804813,-5.6800695121314035,-5.743926500075011,0.5834246824027609
Box,125,0.0,40000,100,19.948912004608736,20.43480459128148,0.4858925866727435,0.49651308469127464,0.056663710772503165
Box,125,0.0,50000,100,32.073250519130745,18.12002832188584,-13.953222197244907,-13.449325013857266,2.1193881269763324
Box,125,0.0,60000,100,22.7427704413996,0.888490265687925,-21.854280175711676,-20.061041243089978,12.22984579532301
Box,125,5.0,40000,100,6.409443188828362,4.324154412308326,-2.085288776520036,-1.9019415410414502,0.9318047465463474
Box,125,5.0,50000,100,21.898600669336496,12.70652372966588,-9.192076939670619,-9.39922021437475,1.3659172498651089
Box,125,5.0,60000,100,17.7751819142155,16.516340344709302,-1.2588415695062007,-1.249543289967903,0.20763898263940092
Box,125,10.0,40000,100,10.046471178346,6.157238518581481,-3.889232659764519,-3.8050501896729854,0.9076070068035107
Box,125,10.0,50000,100,25.95269183091247,23.495265622502146,-2.457426208410324,-2.412078411447462,0.33138763612561817
Box,125,10.0,60000,100,21.866542716195042,19.616384638503302,-2.250158077691736,-2.2075381089195965,0.2566197606890752
Dose,25,-10.0,40000,100,7.182446263477334,4.597376710658377,-2.5850695528189567,-2.5920166749670477,0.16610891072516348
Dose,25,-10.0,50000,100,16.394580424422365,10.390207274744567,-6.004373149677799,-6.007822559416739,0.1529622858595023
Dose,25,-10.0,60000,100,12.023870778831743,5.8355492501597475,-6.188321528671995,-6.105183632859212,0.25117436149025396
Dose,25,-5.0,40000,100,7.125401044025234,4.308297013057604,-2.81710403096763,-2.8195004868665317,0.09406320544879383
Dose,25,-5.0,50000,100,15.6303946491437,8.815150157945485,-6.8152444911982135,-6.813149131575156,0.10809051478529429
Dose,25,-5.0,60000,100,9.834041977580009,-139.72280023798402,-149.55684221556402,-149.53294931693253,0.09914465278607336
Dose,25,0.0,40000,100,7.980425667108047,7.261441372118583,-0.7189842949894647,-0.7195517582533824,0.009198624261379353
Dose,25,0.0,50000,100,17.294095381707532,9.672005422111761,-7.622089959595772,-7.618498892519843,0.04126682411555962
Dose,25,0.0,60000,100,12.795310214490117,6.117741141040129,-6.677569073449988,-6.685872225539292,0.10650093225226394
Dose,25,5.0,40000,100,3.286826384069307,-4.049484142740049,-7.336310526809355,-7.362574272285582,0.27922106244273903
Dose,25,5.0,50000,100,14.415855785462309,9.658250358258748,-4.75760542720356,-4.765880954938516,0.053640039659049295
Dose,25,5.0,60000,100,11.36381640509107,6.706736147950205,-4.657080257140864,-4.616536887926632,0.16527064161445038
Dose,25,10.0,40000,100,2.560245386208428,-17.572475275087726,-20.132720661296155,-10.143308718420407,35.855390127760685
Dose,25,10.0,50000,100,13.873773867256503,9.348350724949032,-4.525423142307469,-4.487135378073416,0.14091072189879109
Dose,25,10.0,60000,100,10.91731303855934,6.477626245555885,-4.439686793003457,-4.522079306563231,0.28348219372092714
Dose,50,-10.0,40000,100,9.963088477689244,9.11017210653334,-0.8529163711559038,-0.8581874088085311,0.06740881798657718
Dose,50,-10.0,50000,100,13.836650161700188,3.7874971038424494,-10.04915305785774,-9.96184729838458,0.5185068489022462
Dose,50,-10.0,60000,100,13.341564463113311,4.495225570171634,-8.846338892941676,-8.783022919113067,0.6669897122702845
Dose,50,-5.0,40000,100,8.230161133868451,5.079476327260704,-3.150684806607746,-3.0967422280689827,0.2960856734995591
Dose,50,-5.0,50000,100,12.582324385910761,5.8111002856953595,-6.7712241002154006,-6.8163630847534815,0.3026412835405044
Dose,50,-5.0,60000,100,13.055708338301558,5.110530368724725,-7.945177969576833,-7.862977711749385,0.562209141602787
Dose,50,0.0,40000,100,13.896883480250244,13.094152501713051,-0.8027309785371921,-0.8117297462025803,0.03735966544307317
Dose,50,0.0,50000,100,17.682215099948223,8.165302157433208,-9.516912942515013,-9.486505480763526,0.2563697713119568
Dose,50,0.0,60000,100,17.097043564443027,8.31137573233536,-8.785667832107665,-8.720698006206161,0.3142136319936115
Dose,50,5.0,40000,100,11.336252677735175,9.493922336165763,-1.8423303415694106,-1.8845424224714629,0.15078116410148965
