object,distance_cm,angle_deg,mic,trial,band_center_hz,preprocessing,filename,roi_start,roi_end,roi_length,object_roi_power_mean,reference_roi_noise_power_mean,estimated_signal_power,snr_db
Box,100,-10.0,Mic2,12,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,92.1993136503996,2.7446360583479934,89.45467759205161,15.13118290094383
Box,100,-10.0,Mic2,12,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,92.77874141201275,0.755561583780484,92.02317982823226,20.85627367793398
Box,100,-10.0,Mic2,12,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,58.37793583340077,0.18872820490192116,58.18920762849885,24.89005634268195
Box,100,-10.0,Mic2,13,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,129.19590759370186,7.729326246839716,121.46658134686214,11.963151697227854
Box,100,-10.0,Mic2,13,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,98.1059075422512,2.7446360583479934,95.36127148390321,15.408872683341333
Box,100,-10.0,Mic2,13,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.11564077286494,0.755561583780484,92.36007918908444,20.87214428321342
Box,100,-10.0,Mic2,13,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,55.32510761824303,0.18872820490192116,55.13637941334111,24.656014352055124
Box,100,-10.0,Mic2,14,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,129.91989242922617,7.729326246839716,122.19056618238645,11.988960383536929
Box,100,-10.0,Mic2,14,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,100.7502715570691,2.7446360583479934,98.0056354987211,15.527662844222672
Box,100,-10.0,Mic2,14,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,91.04898113853235,0.755561583780484,90.29341955475186,20.77386232468372
Box,100,-10.0,Mic2,14,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,51.731960228360606,0.18872820490192116,51.543232023458685,24.36334838437249
Box,100,-10.0,Mic2,15,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,148.9603080754035,7.729326246839716,141.23098182856378,12.617883395067883
Box,100,-10.0,Mic2,15,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,115.47013680104708,2.7446360583479934,112.72550074269908,16.135374084857048
Box,100,-10.0,Mic2,15,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,106.62329403807006,0.755561583780484,105.86773245428957,21.464937428844074
Box,100,-10.0,Mic2,15,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,61.05533548912337,0.18872820490192116,60.86660728422145,25.085422856642182
Box,100,-10.0,Mic2,16,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,162.59608171764592,7.729326246839716,154.8667554708062,13.01816560974837
Box,100,-10.0,Mic2,16,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,129.28244809341297,2.7446360583479934,126.53781203506497,16.6373555610843
Box,100,-10.0,Mic2,16,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,113.83746982916979,0.755561583780484,113.0819082453893,21.75123260267393
Box,100,-10.0,Mic2,16,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,62.24720158527658,0.18872820490192116,62.05847338037466,25.169642787571046
Box,100,-10.0,Mic2,17,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,153.71979748582393,7.729326246839716,145.9904712389842,12.761828716146566
Box,100,-10.0,Mic2,17,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,122.24679100600142,2.7446360583479934,119.50215494765342,16.38890972166015
Box,100,-10.0,Mic2,17,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,106.84482200277102,0.755561583780484,106.08926041899053,21.474015535339525
Box,100,-10.0,Mic2,17,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,57.69099452039467,0.18872820490192116,57.50226631549275,24.838481526043722
Box,100,-10.0,Mic2,18,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,165.87227874533292,7.729326246839716,158.1429524984932,13.109082039274059
Box,100,-10.0,Mic2,18,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,127.75152648182524,2.7446360583479934,125.00689042347724,16.584491874363977
Box,100,-10.0,Mic2,18,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,118.12345050279997,0.755561583780484,117.36788891901948,21.912794247685426
Box,100,-10.0,Mic2,18,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,68.92855162594635,0.18872820490192116,68.73982342104443,25.61371603076466
Box,100,-10.0,Mic2,19,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,161.46090771280814,7.729326246839716,153.73158146596842,12.986214560702141
Box,100,-10.0,Mic2,19,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,123.25822575656882,2.7446360583479934,120.51358969822083,16.42551258134298
Box,100,-10.0,Mic2,19,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,115.30621863489353,0.755561583780484,114.55065705111303,21.807277163163352
Box,100,-10.0,Mic2,19,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,67.62131188298105,0.18872820490192116,67.43258367807913,25.5303299086982
Box,100,-10.0,Mic2,20,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,127.12367773622059,7.729326246839716,119.39435148938087,11.888421421347338
Box,100,-10.0,Mic2,20,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.85379498562747,2.7446360583479934,91.10915892727948,15.210772727789635
Box,100,-10.0,Mic2,20,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,91.66726812664764,0.755561583780484,90.91170654286715,20.803499418845494
Box,100,-10.0,Mic2,20,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,56.691573887586806,0.18872820490192116,56.502845682684885,24.76233511862916
Box,100,-10.0,Mic2,21,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,138.50200672775307,7.729326246839716,130.77268048091335,12.283753868689253
Box,100,-10.0,Mic2,21,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,103.39092339917738,2.7446360583479934,100.64628734082939,15.643129944886285
