object,distance_cm,angle_deg,band_center_hz,n_trials,snr_gain_db_mean,snr_gain_db_median,snr_gain_db_std,snr_db_bandpassed_mean,snr_db_detrended_only_mean
Dose,75,5.0,60000.0,100,10.85515018103573,10.85361856984305,0.08129471666203959,17.6959015089676,6.840751327931871
Dose,75,10.0,40000.0,100,3.8091333202470157,3.8139266770501203,0.11949327596010494,7.2979654497188085,3.4888321294717928
Dose,75,10.0,50000.0,100,12.565409033906729,12.576134463522948,0.11653257011424609,16.05424116337852,3.4888321294717928
Dose,75,10.0,60000.0,100,11.677655355418633,11.682621410400518,0.16910200048916904,15.166487484890427,3.4888321294717928
Dose,100,-10.0,40000.0,100,3.9502648581944997,3.9438504053536634,0.12401017867733824,9.015151763637814,5.0648869054433145
Dose,100,-10.0,50000.0,100,9.147667371080274,9.139740146803161,0.1379028366083399,14.21255427652359,5.0648869054433145
Dose,100,-10.0,60000.0,100,12.391101558167627,12.346745314941561,0.33153619261261497,17.45598846361094,5.0648869054433145
Dose,100,-5.0,40000.0,100,4.175749089758902,4.131740168079682,0.2146752408153049,7.683676112844854,3.5079270230859523
Dose,100,-5.0,50000.0,100,8.541430351873217,8.553146186606337,0.19557743507359518,12.049357374959168,3.5079270230859523
Dose,100,-5.0,60000.0,100,11.083952468424322,11.301510479519532,0.7588047076596077,14.591879491510277,3.5079270230859523
Dose,100,0.0,40000.0,100,4.190202898249923,4.195298798745995,0.04503299257002978,13.660026493480805,9.46982359523088
Dose,100,0.0,50000.0,100,8.38434905938289,8.4030657722442,0.0745623433929522,17.854172654613773,9.46982359523088
Dose,100,0.0,60000.0,100,10.21252134340821,10.226222030826328,0.18833347587544058,19.68234493863909,9.46982359523088
Dose,100,5.0,40000.0,100,4.084702243184392,4.063350481542804,0.1136373803853288,10.40408726100591,6.319385017821519
Dose,100,5.0,50000.0,100,9.191538080842243,9.188169746044649,0.06963632171302694,15.510923098663762,6.319385017821519
Dose,100,5.0,60000.0,100,12.109286878197231,12.147306034588318,0.19306743440311241,18.42867189601875,6.319385017821519
Dose,100,10.0,40000.0,100,3.219618914565984,3.16306342020376,0.28476752787678455,4.761365260180577,1.5417463456145928
Dose,100,10.0,50000.0,100,9.827172580511778,9.84036363873267,0.20601994764879805,11.368918926126371,1.5417463456145928
Dose,100,10.0,60000.0,100,14.665603078499485,14.721233048726084,0.3303805910576348,16.207349424114078,1.5417463456145928
Dose,125,-10.0,40000.0,100,5.997264824686516,6.03367821151364,0.5277174941571563,5.689110033720038,-0.30815479096647935
Dose,125,-10.0,50000.0,100,19.615313940304908,19.566973152848934,0.5315521510132464,19.30715914933843,-0.30815479096647935
