category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Box,<mean_over_trials>,<mean_over_trials>,75.0,-5.0,-1,100,True,-0.06536680706074363,0.7471460235688092,0.06067883373280353,0.7415182179699865,0.75,0.7439967664207672,4.6781210322860645,12.61712160475362,-0.6003233579232825,9.678121032286072,-45.0,5,1.3589957439338834e-07,-1.1137878882970301e-08,9.457776348547247e-10,1.3684535202824305e-07
Box,<mean_over_trials>,<mean_over_trials>,75.0,0.0,-1,100,True,0.0,0.75,0.2261720201245479,0.7110954002185331,0.75,0.7461973270517489,17.643860412422484,22.949368307510124,-0.38026729482510957,17.643860412422498,-45.0,5,1.3630839351168564e-07,-4.342560336083839e-08,1.3870735839428342e-08,1.5017912935111398e-07
Box,<mean_over_trials>,<mean_over_trials>,75.0,5.0,-1,100,True,0.06536680706074363,0.7471460235688092,0.4850859707144607,0.5620982706366094,0.75,0.7424707838269851,40.79391058066713,45.87012613928941,-0.7529216173014941,35.79391058066713,-45.0,9,1.3254430969365705e-07,-1.1464228557666158e-07,9.921540615780317e-08,2.317597158514602e-07
Box,<mean_over_trials>,<mean_over_trials>,75.0,10.0,-1,100,True,0.13023613325019776,0.738605814759156,0.19587006822776282,0.7214235606566678,0.75,0.7475406594280296,15.189913102917444,6.784573145513069,-0.2459340571970392,5.189913102917444,-45.0,4,1.3691336601138643e-07,-3.7232522809554896e-08,1.016024862781815e-08,1.4707361463920459e-07
Box,<mean_over_trials>,<mean_over_trials>,100.0,-10.0,-1,100,True,-0.17364817766693033,0.984807753012208,0.6380524566679266,0.761169499646749,1.0,0.9932220016957228,39.97151516684043,84.1945359360073,-0.6777998304277166,49.97151516684045,-45.0,6,2.3772736071274946e-07,-1.9963269837401268e-07,1.676983250518909e-07,4.054256857646403e-07
Box,<mean_over_trials>,<mean_over_trials>,100.0,-5.0,-1,100,True,-0.08715574274765817,0.9961946980917455,0.0602788152121013,0.9925354552727719,1.0,0.9943642016569699,3.4754273315523547,14.747996114319356,-0.5635798343030074,8.475427331552368,45.0,3,2.42702570249875e-07,-1.4758770683496964e-08,9.303307393103014e-10,2.436329009891853e-07
Box,<mean_over_trials>,<mean_over_trials>,100.0,0.0,-1,100,True,0.0,1.0,0.07332629917394655,0.9979417858065334,1.0,1.0006320772438189,4.202400464847285,7.33551797503987,0.06320772438188627,4.202400464847273,45.0,5,2.457587964737596e-07,-1.8080854621383206e-08,1.3631406641273481e-09,2.4712193713788695e-07
Box,<mean_over_trials>,<mean_over_trials>,100.0,5.0,-1,100,True,0.08715574274765817,0.9961946980917455,0.5202303218828384,0.8463008685446725,1.0,0.9934106642802807,31.579493347212708,45.828130141802696,-0.6589335719719314,26.57949334721272,-45.0,6,2.3979159368549255e-07,-1.4763425057639111e-07,9.094019391482707e-08,3.3073178760031964e-07
Box,<mean_over_trials>,<mean_over_trials>,100.0,10.0,-1,100,True,0.17364817766693033,0.984807753012208,0.20849547491432358,0.9776208944863511,1.0,0.9996064107417693,12.03900716203404,3.558068381747128,-0.03935892582307421,2.0390071620340393,-45.0,5,2.449783768599599e-07,-5.231471977357977e-08,1.1205939691165261e-08,2.5618431655112516e-07
Box,<mean_over_trials>,<mean_over_trials>,125.0,-10.0,-1,100,True,-0.2170602220836629,1.23100969126526,-0.12536421377858528,1.2473062381748259,1.25,1.253590458597288,-5.739407868749832,9.313289096909076,0.35904585972879044,4.260592131250178,45.0,5,3.856185598030025e-07,3.879987637042991e-08,3.9369918091912974e-09,3.8955555161219376e-07
Box,<mean_over_trials>,<mean_over_trials>,125.0,-5.0,-1,100,True,-0.1089446784345727,1.2452433726146819,0.36058787453421937,1.1907145524779155,1.25,1.2441160559786166,16.84805379070661,47.26882805009019,-0.5883944021383369,21.848053790706615,-45.0,5,3.7899313890755333e-07,-1.1490332317412088e-07,3.487217683196881e-08,4.1386531573952216e-07
Box,<mean_over_trials>,<mean_over_trials>,125.0,0.0,-1,100,True,0.0,1.25,0.21730549029970914,1.2337716281686764,1.25,1.252762589874228,9.989112046620107,21.791061508493037,0.2762589874228061,9.989112046620107,-45.0,4,3.8489502103976486e-07,-6.786663952925527e-08,1.2000330895659351e-08,3.968953519354242e-07
