category,file,relative_path,distance_cm,angle_deg,trial,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,29,True,-0.13023613325019776,0.738605814759156,-0.29633097188131235,0.6832281994975711,0.75,0.7447233160609489,-23.44742944891345,17.508333927577496,-0.5276683939051119,-13.447429448913454,45.0,7,1.3541924452307727e-07,5.8836109276115876e-08,2.5601657904963962e-08,1.6102090242804123e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,30,True,-0.13023613325019776,0.738605814759156,-0.2169045204833219,0.720186085232212,0.75,0.7521406573030065,-16.761168661768572,8.860415216814916,0.2140657303006499,-6.761168661768579,45.0,5,1.3853170611196783e-07,4.179047427300866e-08,1.2642528120083224e-08,1.5117423423205106e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,31,True,-0.13023613325019776,0.738605814759156,-0.22505244344572498,0.7097246999927981,0.75,0.7445520479326871,-17.59372898295268,9.911736209787856,-0.5447952067312856,-7.593728982952683,45.0,7,1.3571057121191965e-07,4.310427685289832e-08,1.3726779634164848e-08,1.494373508460845e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,32,True,-0.13023613325019776,0.738605814759156,100.27587463112741,-144.0329350618316,0.75,175.5013886428349,145.1543253640711,17618.225258694718,17475.13886428349,155.1543253640711,45.0,20,0.007482689487934207,0.0052093956198681285,0.0036267445190053256,0.011109434006939532
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,33,True,-0.13023613325019776,0.738605814759156,-0.33395251643367746,0.6659495567219278,0.75,0.744992010246095,-26.632308354488085,21.628522050600367,-0.500798975390504,-16.63230835448809,45.0,8,1.3526702665928958e-07,6.795401960466825e-08,3.417901589893519e-08,1.6944604255822477e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,34,True,-0.13023613325019776,0.738605814759156,-0.08620178830006625,0.7448485410158259,0.75,0.7498200433167507,-6.601508386094496,4.44746575737564,-0.017995668324932712,3.3984916139054917,45.0,5,1.3800504058134583e-07,1.5996044462939442e-08,1.8872612239961356e-09,1.3989230180534196e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,35,True,-0.13023613325019776,0.738605814759156,-0.14707335894962417,0.7282841492744357,0.75,0.7429861203260216,-11.417047652076151,1.9749150554691979,-0.7013879673978374,-1.4170476520761497,45.0,7,1.3538738417562234e-07,2.7384015647153792e-08,5.572878025923346e-09,1.4096026220154568e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,36,True,-0.13023613325019776,0.738605814759156,-0.15802555185027886,0.7343248022508011,0.75,0.751135800130884,-12.144747151461043,2.811723411410206,0.11358001308839905,-2.144747151461047,45.0,4,1.383487935079153e-07,2.9819387578421864e-08,6.46145791122733e-09,1.4481025141914263e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,37,True,-0.13023613325019776,0.738605814759156,28.67412634684392,-48.374614886927205,0.75,56.23441017040445,149.34259338208753,5693.680484165938,5548.441017040445,159.34259338208756,45.0,20,0.0007703821673101295,0.00045662940865143356,0.0002706584598584087,0.0010410406271685383
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,38,True,-0.13023613325019776,0.738605814759156,-0.35444109364006243,0.6561254948005373,0.75,0.7457406746235673,-28.378059661074325,23.889509715332565,-0.4259325376432699,-18.37805966107433,45.0,8,1.3538211109568451e-07,7.3268117580425e-08,3.969465620630048e-08,1.75076767301985e-07
