category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Dose,<mean_over_trials>,<mean_over_trials>,125.0,-10.0,-1,100,True,-0.2170602220836629,1.23100969126526,-0.33260166484048204,1.2047083320256815,1.25,1.2497783934389168,-15.434019977861638,11.849720035585934,-0.022160656108316523,-5.434019977861624,45.0,6,3.8260637020761145e-07,1.0575147444792934e-07,2.9264675269611418e-08,4.118710454772229e-07
Dose,<mean_over_trials>,<mean_over_trials>,125.0,-5.0,-1,100,True,-0.1089446784345727,1.2452433726146819,-0.17349885243322036,1.2381779411030014,1.25,1.2502745560994641,-7.976596830952491,6.493967741753822,0.02745560994641405,-2.976596830952502,45.0,6,3.8348413943026343e-07,5.379433863500746e-08,7.579523162365017e-09,3.9106366259262846e-07
Dose,<mean_over_trials>,<mean_over_trials>,125.0,0.0,-1,100,True,0.0,1.25,0.28039679961748587,1.218217652938227,1.25,1.2500706440701865,12.9619991083875,28.21922798739957,0.007064407018653185,12.961999108387488,-45.0,5,3.830199722617059e-07,-8.825813000186599e-08,2.0371514467144883e-08,4.033914867288508e-07
Dose,<mean_over_trials>,<mean_over_trials>,125.0,5.0,-1,100,True,0.1089446784345727,1.2452433726146819,0.06269494587370247,1.2481638322923017,1.25,1.2497374158121022,2.875535432429836,4.634184768306744,-0.026258418789781857,-2.1244645675701577,45.0,4,3.8332993552736664e-07,-1.9275450613347708e-08,1.002057912362402e-09,3.8433199343972903e-07
Dose,<mean_over_trials>,<mean_over_trials>,125.0,10.0,-1,100,True,0.2170602220836629,1.23100969126526,-0.2988335949050215,1.2143421793500269,1.25,1.250571247867322,-13.825029535047534,51.616299398600695,0.05712478673221,-23.82502953504752,45.0,5,3.832500416538485e-07,9.441862337214284e-08,2.3295963665054235e-08,4.0654600531890273e-07
Glas,<mean_over_trials>,<mean_over_trials>,25.0,-10.0,-1,100,True,-0.04341204441673258,0.246201938253052,-0.053046039483121546,0.25257439021732364,0.25,0.2580846855171724,-11.860956161090908,1.1550844340400244,0.8084685517172396,-1.860956161090911,45.0,4,1.6401680689109247e-08,3.4473868538832844e-09,7.588867128711679e-10,1.7160567401980414e-08
Glas,<mean_over_trials>,<mean_over_trials>,25.0,-5.0,-1,100,True,-0.02178893568691454,0.2490486745229364,2.8672454093196986,-3.831951379316401,0.25,4.7859113667837345,143.19444459031507,500.0108087438158,453.59113667837346,148.19444459031507,45.0,20,5.559390596524924e-06,4.157915932786305e-06,3.1097920260864926e-06,8.669182622611416e-06
Glas,<mean_over_trials>,<mean_over_trials>,25.0,0.0,-1,100,True,0.0,0.25,0.822769923062765,-54.97763906580032,0.25,54.983795318218164,179.14260186487294,5523.376745369276,5473.379531821816,179.14260186487297,-45.0,20,0.0007418580140367985,1.1101965973555172e-05,1.6617455630417228e-07,0.0007420241885931027
Glas,<mean_over_trials>,<mean_over_trials>,25.0,5.0,-1,100,True,0.02178893568691454,0.2490486745229364,0.07468956652351973,0.2459933089637124,0.25,0.25708216469134487,16.8895691069153,5.298879128279183,0.7082164691344872,11.889569106915303,-45.0,7,1.623215015759828e-08,-4.9329213480332755e-09,1.5349845806871161e-09,1.7767134738285394e-08
Glas,<mean_over_trials>,<mean_over_trials>,25.0,10.0,-1,100,True,0.04341204441673258,0.246201938253052,17.863915480373603,-10.691003303856217,0.25,20.818670176862792,120.89922175021367,2090.9155918376355,2056.8670176862793,110.89922175021366,31.0,20,0.00010055528412685817,0.00016799447051680765,0.00028066306850144015,0.0003812183526282983
